experiment,regime,arm,n,threads,rep,wall_s,rc,note
exp2,k1,hermit-ptrace,200000,4,5,8.699,0,
exp2,par,hermit-ptrace,200000,4,5,8.620,0,
exp2,k1,hermit-dbi,200000,4,5,0.803,0,
exp2,par,hermit-dbi,200000,4,5,0.871,0,
exp2,k1,hermit-sabre,200000,4,5,12.963,0,
exp2,par,hermit-sabre,200000,4,5,14.582,0,
exp2,k1,hermit-liteinst,200000,4,5,0.893,1,FAILED-rc1-no-result
exp2,par,hermit-liteinst,200000,4,5,0.550,1,FAILED-rc1-no-result
exp2,k1,hermit-e9patch,200000,4,5,8.940,0,
exp2,par,hermit-e9patch,200000,4,5,8.820,0,
