population,guest,compile_flags,syscall_insn,cpuid_insn,other_insn,static_candidate_sites,banner_candidate_sites,banner_mapped_sites,reach_state,ran_under_hermit
B-shared-fullcorpus,B-meminfo_cached_deterministic,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-meminfo_free_deterministic,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-memoryPress,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-mmap_determinism,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-mmap_fork_shared,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-name_to_handle_at_eopnotsupp,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-name_to_handle_directory_eopnotsupp,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-name_to_handle_empty_path_eopnotsupp,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-name_to_handle_regular_eopnotsupp,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-netlink_autobind_generic,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-netlink_autobind_route,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-netlink_autobind_usersock,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-netns_cookie_tcp4,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-netns_cookie_tcp6,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-netns_cookie_udp4,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-perf_event_hardware_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-perf_event_open_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-perf_event_software_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-perf_event_watchpoint_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-periodic_setitimer_delivery,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pidfd_open_self,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pidfd_poll_self,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pidfd_waitid_child,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pid_probe,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,0,0,vacuous-ptrace-passthrough,yes
B-shared-fullcorpus,B-pid_tid,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pipe_chain,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pipe_prefill,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-pmu_skid,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,11,0,11,11,11,e9patch-exercised,yes
B-shared-fullcorpus,B-posix_timer_test,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-ppoll_readv,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-ppoll_simulation,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-prctl_dumpable,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-process_mrelease_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-process_vm_readv_refusal_probe,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-process_vm_writev_refusal_probe,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-proc_fd_link_aliases,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
