config	seed	exit	sig12	scanlines	elapsed_ms
chaos_plain_ts1e4	18	0	375f4115ed33	1	535
chaos_plain_ts1e4	19	0	a7111ccb2f0e	1	454
chaos_plain_ts1e4	20	0	8cf1d58aca15	1	524
chaos_plain_ts1e4	21	0	17ffa679fff5	1	419
chaos_plain_ts1e4	22	0	3232ffc37f12	1	420
chaos_plain_ts1e4	23	0	0bb5aee85530	1	419
chaos_plain_ts1e4	24	0	c3b23d45812e	1	419
chaos_plain_ts1e4	25	0	63baf42c61db	1	420
chaos_plain_ts1e4	26	0	5498c3a2c8e2	1	420
chaos_plain_ts1e4	27	0	74d4eec18010	1	419
chaos_plain_ts1e4	28	0	48996a75b8a0	1	420
chaos_plain_ts1e4	29	0	9792f0f3f557	1	419
chaos_plain_ts1e4	30	0	fddef740fe39	1	419
chaos_plain_ts1e4	31	0	28461d62ce17	1	217
chaos_plain_ts1e4	32	0	715cb053d939	1	419
chaos_plain_ts1e4	33	0	bdcbaca28581	1	419
chaos_plain_ts1e4	34	0	2e5fce8015f3	1	419
chaos_plain_ts1e4	35	0	4c8762680c60	1	419
chaos_plain_ts1e4	36	0	b11d6e72f494	1	419
chaos_plain_ts1e4	37	0	664639bc1c13	1	425
chaos_plain_ts1e4	38	0	c97bfcf1f669	1	432
chaos_plain_ts1e4	39	0	63d917fe7247	1	466
chaos_plain_ts1e4	40	0	a63916471be0	1	649
