fixture,build,native_hash,ptrace_hash,verdict
poll_readiness,ok,c670de529981b1b9,c670de529981b1b9,NOT-EXERCISED
prctl_pdeathsig,ok,0caf4f5b90597e91,0caf4f5b90597e91,NOT-EXERCISED
preadv2_flags,ok,c8f28bdb225f855d,c8f28bdb225f855d,NOT-EXERCISED
pthread_lifecycle,ok,6f916c392b593c28,6f916c392b593c28,NOT-EXERCISED
readdir_entries,ok,a9a2623e7f2c6483,a9a2623e7f2c6483,NOT-EXERCISED
record_lock,ok,483c0acef28fc393,483c0acef28fc393,NOT-EXERCISED
renameat2_flags,ok,ace77303ef27dd17,ace77303ef27dd17,NOT-EXERCISED
rename_ops,ok,2e66b7f546269cde,2e66b7f546269cde,NOT-EXERCISED
robust_list,ok,43b259778db1cd5f,43b259778db1cd5f,NOT-EXERCISED
seccomp_refusal,ok,e3b0c44298fc1c14,4c2b9a600e1eaa22,EXERCISED
sendfile_copy,ok,7ba7c6173afc2e76,7ba7c6173afc2e76,NOT-EXERCISED
set_tid_address,ok,2aad6d7ecfdca7e7,2aad6d7ecfdca7e7,NOT-EXERCISED
shutdown_socketpair,ok,00461ede49b7128f,00461ede49b7128f,NOT-EXERCISED
sigaction_state,ok,532b27c78e782431,532b27c78e782431,NOT-EXERCISED
sigaltstack_state,ok,19faaf7239f718fb,19faaf7239f718fb,NOT-EXERCISED
signalfd_create,ok,3f01021028d7b6e4,3f01021028d7b6e4,NOT-EXERCISED
sigprocmask_state,ok,3d39ecfc3ce510f2,3d39ecfc3ce510f2,NOT-EXERCISED
socket_options,ok,d1daaf799c775803,d1daaf799c775803,NOT-EXERCISED
socketpair_flags,ok,1985539ba5ab7447,1985539ba5ab7447,NOT-EXERCISED
sockname_unnamed,ok,6cae892adda5c20b,6cae892adda5c20b,NOT-EXERCISED
statfs_free_determinism,ok,eaf44b013e243c4c,32683f3a806cdd3c,EXERCISED
statx_metadata,ok,bf453d88b23df75b,bf453d88b23df75b,NOT-EXERCISED
symlink_ops,ok,7f5b28ac0d339b47,7f5b28ac0d339b47,NOT-EXERCISED
sync_file_range,ok,8bcc15cd283521df,8bcc15cd283521df,NOT-EXERCISED
sysv_ipc_refusal,ok,e3b0c44298fc1c14,e0ffac78ce03abf3,EXERCISED
thp_disable,ok,8b6a94c059fdc1f5,8b6a94c059fdc1f5,NOT-EXERCISED
umask_mode,ok,54ff909eb4cd90fd,54ff909eb4cd90fd,NOT-EXERCISED
uname_identity,ok,8d10a788d1b16fbe,d0a72803ef1ba53a,EXERCISED
utimensat_determinism,ok,52fe11e56aec0f69,e14d17ae79e063d0,EXERCISED
vectored_file_io,ok,915b11ecf997fa50,915b11ecf997fa50,NOT-EXERCISED
vectored_io,ok,1977680168f58c39,1977680168f58c39,NOT-EXERCISED
