cell_id,backend,verdict,tier,golden_rc,backend_rc,detail
backend-parity-c/cpuid-probe,dbi,DIVERGES,L0,1,0,exit 0 vs golden 1: reverie-dbi: tool=Detcore branches=22785 syscalls=37 rewritten=36 stdin_reads=0 memory_hash=8173631d3d2fe092
backend-parity-c/fadvise-hints,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/fallocate-extents,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/fchmod-bits,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/fchmodat2-flags,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/fd-duplication,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/file-backed-mmap,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/flock-lifecycle,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/fsync-durability,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/ftruncate-sparse,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/getcpu-identity,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
