bucket,test_id,backend,absence_class,outcome,deterministic,stdout_parity,reason
c-programs,c-programs/name-to-handle-empty-path-eopnotsupp,dbi,measured,pass,1,1,
c-programs,c-programs/name-to-handle-regular-eopnotsupp,dbi,measured,pass,1,1,
c-programs,c-programs/nanosleep-par,dbi,measured,pass,1,1,
c-programs,c-programs/nanosleep-threads-nocrash,dbi,measured,pass,1,1,
c-programs,c-programs/nanosleep-threads-simple,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
c-programs,c-programs/netlink-autobind-generic,dbi,measured,pass,1,1,
c-programs,c-programs/netlink-autobind-route,dbi,measured,pass,1,1,
c-programs,c-programs/netlink-autobind-usersock,dbi,measured,pass,1,1,
c-programs,c-programs/netns-cookie-tcp4,dbi,measured,pass,1,1,
c-programs,c-programs/netns-cookie-tcp6,dbi,measured,pass,1,1,
c-programs,c-programs/netns-cookie-udp4,dbi,measured,pass,1,1,
c-programs,c-programs/perf-event-hardware-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/perf-event-open-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/perf-event-software-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/perf-event-watchpoint-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/periodic-setitimer-delivery,dbi,measured,pass,1,1,
c-programs,c-programs/pidfd-open-self,dbi,measured,pass,1,1,
c-programs,c-programs/pidfd-poll-self,dbi,measured,pass,1,1,
c-programs,c-programs/pidfd-waitid-child,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/ppoll-readv,dbi,measured,pass,1,1,
c-programs,c-programs/ppoll-simulation,dbi,measured,pass,1,1,
c-programs,c-programs/prctl-dumpable,dbi,measured,pass,1,1,
c-programs,c-programs/pread64-nostdlib,dbi,measured,pass,1,1,
c-programs,c-programs/print-memaddrs,dbi,measured,pass,1,0,
c-programs,c-programs/printf-with-threads,dbi,measured,pass,1,1,
c-programs,c-programs/proc-fd-link-aliases,dbi,measured,pass,1,1,
c-programs,c-programs/proc-fdinfo,dbi,measured,pass,1,1,
c-programs,c-programs/proc-locks,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/process-mrelease-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/process-vm-readv-refusal-probe,dbi,measured,pass,1,1,
c-programs,c-programs/process-vm-writev-refusal-probe,dbi,measured,pass,1,1,
c-programs,c-programs/procfs-positioned-probe,dbi,measured,pass,1,1,
c-programs,c-programs/prodcons-determinism,dbi,measured,pass,1,1,
c-programs,c-programs/pselect6-simulation,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/ptrace-attach-eperm,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/ptrace-eperm,dbi,measured,pass,1,1,
c-programs,c-programs/ptrace-seize-eperm,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/ptrace-traceme-eperm,dbi,measured,pass,1,1,
c-programs,c-programs/pty-nr-count,dbi,measured,pass,1,1,
c-programs,c-programs/racewrite-nostdlib,dbi,measured,pass,1,1,
c-programs,c-programs/random-sources,dbi,measured,pass,1,0,
c-programs,c-programs/rcx-canonicalization,dbi,measured,pass,1,1,
c-programs,c-programs/record-replay-fd-close,dbi,measured,pass,1,1,
c-programs,c-programs/record-replay-file-state,dbi,measured,pass,1,1,
c-programs,c-programs/record-replay-lseek-seek-cur,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit2
c-programs,c-programs/record-replay-setsockopt,dbi,measured,pass,1,1,
c-programs,c-programs/recvmsg-scm-rights-mmap,dbi,measured,pass,1,1,
c-programs,c-programs/remap-file-pages-anonymous-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/remap-file-pages-memfd-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/remap-file-pages-tmpfile-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/request-key-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/resource-determinism,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/sched-setattr-batch,dbi,measured,pass,1,1,
c-programs,c-programs/sched-setattr-idle,dbi,measured,pass,1,1,
c-programs,c-programs/sched-setattr-other,dbi,measured,pass,1,1,
c-programs,c-programs/sched-yield-progress,dbi,measured,pass,1,1,
c-programs,c-programs/scheduler-policy-queries,dbi,measured,pass,1,1,
c-programs,c-programs/setitimer-determinism,dbi,measured,pass,1,0,
c-programs,c-programs/sigmask-preemption,dbi,measured,pass,1,1,
c-programs,c-programs/signal-determinism,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit2
c-programs,c-programs/sigpipe-siginfo,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/sigtimedwait-no-timeout,dbi,measured,timeout,0,0,dbi-verify-timeout-120s
c-programs,c-programs/sigtimedwait-timeout-0s,dbi,measured,pass,1,1,
c-programs,c-programs/sigtimedwait-timeout-1s,dbi,measured,pass,1,1,
c-programs,c-programs/so-incoming-cpu-tcp4,dbi,measured,diverge,0,1,dbi-verify-fail-exit1
c-programs,c-programs/so-incoming-cpu-tcp6,dbi,measured,diverge,0,1,dbi-verify-fail-exit1
c-programs,c-programs/so-incoming-cpu-udp4,dbi,measured,pass,1,1,
c-programs,c-programs/socket-cookie-tcp,dbi,measured,pass,1,1,
c-programs,c-programs/socket-cookie-udp,dbi,measured,pass,1,1,
c-programs,c-programs/socket-cookie-unix,dbi,measured,pass,1,1,
c-programs,c-programs/socket-ioctl-timestamp,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
c-programs,c-programs/socket-timestamp-edge-cases,dbi,measured,pass,1,1,
c-programs,c-programs/socket-timestamp-timespec,dbi,measured,pass,1,1,
c-programs,c-programs/socket-timestamp-timeval,dbi,measured,pass,1,1,
c-programs,c-programs/splice-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/statmount-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/syscall-file-io,dbi,measured,pass,1,1,
c-programs,c-programs/syscall-file-metadata,dbi,measured,pass,1,1,
c-programs,c-programs/syscall-quick-wins,dbi,measured,pass,1,0,
c-programs,c-programs/sysfs-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/sysinfo,dbi,measured,pass,1,0,
c-programs,c-programs/sysinfo-uptime,dbi,measured,pass,1,0,
c-programs,c-programs/syslog-deterministic,dbi,measured,pass,1,1,
c-programs,c-programs/sysv-sem-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/sysv-shm-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/tcp-info-accept4,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/tcp-info-accept6,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/tcp-info-client4,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
c-programs,c-programs/tee-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/thread-self-procfs-handoff,dbi,measured,pass,1,1,
c-programs,c-programs/thread-sync-determinism,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit2
c-programs,c-programs/threadexhaustion,dbi,measured,pass,1,1,
c-programs,c-programs/timer-create-determinism,dbi,measured,pass,1,1,
c-programs,c-programs/uname,dbi,measured,pass,1,1,
c-programs,c-programs/unix-autobind-dgram,dbi,measured,pass,1,1,
c-programs,c-programs/unix-autobind-seqpacket,dbi,measured,pass,1,1,
c-programs,c-programs/unix-autobind-stream,dbi,measured,pass,1,1,
c-programs,c-programs/ustat-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/vforkexec,dbi,measured,pass,1,0,
c-programs,c-programs/vmsplice-enosys,dbi,measured,pass,1,1,
c-programs,c-programs/wait-on-child,dbi,measured,pass,1,0,
c-programs,c-programs/writev-determinism,dbi,measured,timeout,0,0,dbi-verify-timeout-120s
chaos-c,chaos-c/lock-granularity,dbi,measured,pass,1,1,
data-handling,data-handling/archive-roundtrip,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
data-handling,data-handling/shell-pipeline,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
debugger-c,debugger-c/debuggee,dbi,measured,pass,1,1,
determinism-stress,determinism-stress/example-race,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
determinism-stress,determinism-stress/order-violation,dbi,measured,pass,1,1,
determinism-stress,determinism-stress/process-chains,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
determinism-stress,determinism-stress/thread-contention,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
determinism-stress,determinism-stress/thread-output,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
determinism-stress-c,determinism-stress-c/fork-tree,dbi,measured,pass,1,1,
determinism-stress-c,determinism-stress-c/lock-free,dbi,measured,pass,1,1,
determinism-stress-c,determinism-stress-c/mmap-fork-shared,dbi,measured,timeout,0,0,dbi-verify-timeout-120s
determinism-stress-c,determinism-stress-c/pid-tid,dbi,measured,pass,1,0,
determinism-stress-c,determinism-stress-c/pipe-chain,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
determinism-stress-c,determinism-stress-c/pipe-prefill,dbi,measured,pass,1,1,
determinism-stress-c,determinism-stress-c/producer-consumer,dbi,measured,pass,1,1,
determinism-stress-c,determinism-stress-c/signal-order,dbi,measured,pass,1,1,
determinism-stress-c,determinism-stress-c/thread-contention,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
determinism-stress-c,determinism-stress-c/thread-stress,dbi,measured,pass,1,1,
language-runtimes,language-runtimes/bash-loop-pipe-time,dbi,measured,timeout,0,0,dbi-verify-timeout-120s
language-runtimes,language-runtimes/example-python-random,dbi,measured,pass,1,1,
language-runtimes,language-runtimes/gawk-random,dbi,measured,pass,1,1,
language-runtimes,language-runtimes/perl-io-subprocess-time,dbi,measured,diverge,0,0,dbi-verify-fail-exit1
language-runtimes,language-runtimes/python-hash-determinism,dbi,measured,pass,1,0,
language-runtimes,language-runtimes/python-io-subprocess-time,dbi,measured,timeout,0,0,dbi-verify-timeout-120s
language-runtimes,language-runtimes/python-random,dbi,measured,pass,1,0,
performance,performance/barrier-rounds,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/barrier-yield-rounds,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/clock-query-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/condvar-baton,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/condvar-signal-baton,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/dup-close-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/epoll-eventfd-ring,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/eventfd-roundtrip,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/fork-wait-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/futex-baton,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/getrandom-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/mmap-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/mutex-contention,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/nanosleep-yield,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/open-read-close-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/pipe-fd-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/pipe-nonblock-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/pipe-roundtrip,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/poll-pipe-ring,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/rwlock-contention,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/rwlock-mixed-contention,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/semaphore-baton,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/sigmask-toggle,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/socketpair-dgram-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/socketpair-roundtrip,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/spin-trylock-contention,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/syscall-mix,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/thread-churn,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/trylock-contention,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
performance,performance/yield-storm,dbi,fixture-source-missing,,,,guest source absent at the measured hermit SHA; no row was emitted by the collector
shared-futex-c,shared-futex-c/qemu-exec-init,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
shared-futex-c,shared-futex-c/qemu-hello,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit7
shared-futex-c,shared-futex-c/qemu-init,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
shared-futex-c,shared-futex-c/qemu-net-init,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
system-utils,system-utils/clock-determinism,dbi,measured,pass,1,1,
system-utils,system-utils/date-nanoseconds,dbi,measured,timeout,0,0,dbi-verify-timeout-120s
system-utils,system-utils/example-date,dbi,measured,pass,1,0,
system-utils,system-utils/example-devrand,dbi,measured,pass,1,1,
system-utils,system-utils/openssl-passwd,dbi,measured,pass,1,0,
system-utils,system-utils/proc-uptime,dbi,measured,pass,1,0,
system-utils,system-utils/random-device,dbi,measured,pass,1,1,
system-utils,system-utils/record-getpid,dbi,measured,pass,1,1,
util-c,util-c/pmu-skid,dbi,reference-unusable-verify,diverge,0,,dbi-verify-fail-exit1
applications,applications/example-timed-progress-bar,e9patch,measured,pass,1,1,
applications,applications/timed-progress-bar,e9patch,reference-unusable-verify,diverge,0,,e9patch-verify-fail-exit1
backend-parity-c,backend-parity-c/cpuid-probe,e9patch,measured,pass,1,1,
backend-parity-c,backend-parity-c/pid-probe,e9patch,measured,pass,1,1,
backend-parity-c,backend-parity-c/pthread-lifecycle,e9patch,measured,pass,1,1,
bin-c,bin-c/posix-timer-test,e9patch,measured,pass,1,1,
bin-c,bin-c/robust-futex-test,e9patch,reference-unusable-verify,timeout,0,,e9patch-verify-timeout-120s
c-programs,c-programs/acct-refusal-probe,e9patch,measured,pass,1,1,
c-programs,c-programs/add-key-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/adjtimex-deterministic,e9patch,measured,pass,1,1,
c-programs,c-programs/arch-prctl-determinism,e9patch,measured,pass,1,1,
c-programs,c-programs/bpf-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/cachestat-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/clock-adjtime-deterministic,e9patch,measured,pass,1,1,
c-programs,c-programs/clone,e9patch,measured,pass,1,1,
c-programs,c-programs/copy-file-range-refusal-probe,e9patch,measured,pass,1,1,
c-programs,c-programs/dbi-copied-tiocgpgrp,e9patch,measured,pass,1,1,
c-programs,c-programs/dbi-exec-failure,e9patch,measured,pass,1,1,
c-programs,c-programs/dbi-execveat-unsupported,e9patch,measured,pass,1,1,
c-programs,c-programs/dbi-mmap-exec,e9patch,measured,pass,1,1,
c-programs,c-programs/dbi-pid-virtualization,e9patch,reference-unusable-runleg,timeout,0,,e9patch-verify-timeout-120s
c-programs,c-programs/dbi-prlimit-self,e9patch,measured,pass,1,1,
c-programs,c-programs/dbi-self-sigqueue,e9patch,measured,pass,1,1,
c-programs,c-programs/dbi-unsupported-syscall,e9patch,measured,pass,1,1,
c-programs,c-programs/dbi-wait-lifecycle,e9patch,reference-unusable-verify,diverge,0,,e9patch-verify-fail-exit1
c-programs,c-programs/epoll-determinism,e9patch,reference-unusable-verify,diverge,0,,e9patch-verify-fail-exit1
c-programs,c-programs/fp-reduction-nondeterminism,e9patch,measured,pass,1,1,
c-programs,c-programs/futex-requeue-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/futex-waitv-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/futex-wake-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/get-robust-list-child,e9patch,measured,pass,1,1,
c-programs,c-programs/get-robust-list-self,e9patch,measured,pass,1,1,
c-programs,c-programs/get-robust-list-thread,e9patch,measured,pass,1,1,
c-programs,c-programs/getcpu,e9patch,measured,pass,1,1,
c-programs,c-programs/getitimer-determinism-probe,e9patch,measured,pass,1,1,
c-programs,c-programs/getsockopt-null,e9patch,measured,pass,1,1,
c-programs,c-programs/hello-alarm,e9patch,measured,pass,1,1,
c-programs,c-programs/hello-nostdlib,e9patch,measured,pass,1,1,
c-programs,c-programs/hello-signals,e9patch,measured,pass,1,1,
c-programs,c-programs/io-uring-fallback,e9patch,measured,pass,1,1,
c-programs,c-programs/io-uring-ring-determinism,e9patch,measured,pass,1,1,
c-programs,c-programs/ioctl-fioclex,e9patch,measured,pass,1,1,
c-programs,c-programs/ioctl-siocethtool,e9patch,measured,pass,1,1,
c-programs,c-programs/ipc-determinism,e9patch,reference-unusable-verify,diverge,0,,e9patch-verify-fail-exit1
c-programs,c-programs/just-spin,e9patch,measured,pass,1,1,
c-programs,c-programs/kcmp-eperm,e9patch,measured,pass,1,1,
c-programs,c-programs/keyctl-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/keyctl-passthrough,e9patch,measured,pass,1,1,
c-programs,c-programs/listmount-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/liteinst-advanced,e9patch,reference-unusable-verify,diverge,0,,e9patch-verify-fail-exit1
c-programs,c-programs/lsm-get-self-attr-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/lsm-list-modules-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/lsm-set-self-attr-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/madvise-determinism,e9patch,measured,pass,1,1,
c-programs,c-programs/map-shadow-stack-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/memfd-secret-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/meminfo-available-deterministic,e9patch,measured,pass,1,1,
c-programs,c-programs/meminfo-cached-deterministic,e9patch,measured,pass,1,1,
c-programs,c-programs/meminfo-free-deterministic,e9patch,measured,pass,1,1,
c-programs,c-programs/memorypress,e9patch,measured,pass,1,1,
c-programs,c-programs/mmap-determinism,e9patch,reference-unusable-verify,diverge,0,,e9patch-verify-fail-exit1
c-programs,c-programs/mmap-stress-determinism,e9patch,measured,pass,1,1,
c-programs,c-programs/name-to-handle-at-eopnotsupp,e9patch,measured,pass,1,1,
c-programs,c-programs/name-to-handle-directory-eopnotsupp,e9patch,measured,pass,1,1,
c-programs,c-programs/name-to-handle-empty-path-eopnotsupp,e9patch,measured,pass,1,1,
c-programs,c-programs/name-to-handle-regular-eopnotsupp,e9patch,measured,pass,1,1,
c-programs,c-programs/nanosleep-par,e9patch,measured,pass,1,1,
c-programs,c-programs/nanosleep-threads-nocrash,e9patch,measured,pass,1,1,
c-programs,c-programs/nanosleep-threads-simple,e9patch,reference-unusable-verify,diverge,0,,e9patch-verify-fail-exit1
c-programs,c-programs/netlink-autobind-generic,e9patch,measured,pass,1,1,
c-programs,c-programs/netlink-autobind-route,e9patch,measured,pass,1,1,
c-programs,c-programs/netlink-autobind-usersock,e9patch,measured,pass,1,1,
c-programs,c-programs/netns-cookie-tcp4,e9patch,measured,pass,1,1,
c-programs,c-programs/netns-cookie-tcp6,e9patch,measured,pass,1,1,
c-programs,c-programs/netns-cookie-udp4,e9patch,measured,pass,1,1,
c-programs,c-programs/perf-event-hardware-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/perf-event-open-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/perf-event-software-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/perf-event-watchpoint-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/periodic-setitimer-delivery,e9patch,measured,pass,1,1,
c-programs,c-programs/pidfd-open-self,e9patch,measured,pass,1,1,
c-programs,c-programs/pidfd-poll-self,e9patch,measured,pass,1,1,
c-programs,c-programs/pidfd-waitid-child,e9patch,measured,pass,1,1,
c-programs,c-programs/ppoll-readv,e9patch,measured,pass,1,1,
c-programs,c-programs/ppoll-simulation,e9patch,measured,pass,1,1,
c-programs,c-programs/prctl-dumpable,e9patch,measured,pass,1,1,
c-programs,c-programs/pread64-nostdlib,e9patch,measured,pass,1,1,
c-programs,c-programs/print-memaddrs,e9patch,measured,pass,1,1,
c-programs,c-programs/printf-with-threads,e9patch,measured,pass,1,1,
c-programs,c-programs/proc-fd-link-aliases,e9patch,measured,pass,1,1,
c-programs,c-programs/proc-fdinfo,e9patch,measured,pass,1,1,
c-programs,c-programs/proc-locks,e9patch,measured,pass,1,1,
c-programs,c-programs/process-mrelease-enosys,e9patch,measured,pass,1,1,
c-programs,c-programs/process-vm-readv-refusal-probe,e9patch,measured,pass,1,1,
c-programs,c-programs/process-vm-writev-refusal-probe,e9patch,measured,pass,1,1,
c-programs,c-programs/procfs-positioned-probe,e9patch,measured,pass,1,1,
c-programs,c-programs/prodcons-determinism,e9patch,measured,pass,1,1,
c-programs,c-programs/pselect6-simulation,e9patch,measured,pass,1,1,
c-programs,c-programs/ptrace-attach-eperm,e9patch,measured,pass,1,1,
c-programs,c-programs/ptrace-eperm,e9patch,measured,pass,1,1,
c-programs,c-programs/ptrace-seize-eperm,e9patch,measured,pass,1,1,
c-programs,c-programs/ptrace-traceme-eperm,e9patch,measured,pass,1,1,
c-programs,c-programs/pty-nr-count,e9patch,measured,pass,1,1,
c-programs,c-programs/racewrite-nostdlib,e9patch,measured,pass,1,1,
c-programs,c-programs/random-sources,e9patch,measured,pass,1,1,
