package,source_version,root,executor,artifact_sha256,hermit_sha256,utc
bzip2,1.0.6-4,hermit-norcb-b,hermit-norcb,23239631e9a5fa2b8b9b0cb2ee8d6fa1f45b14fb1bd2ef1bb3f430809eb387ca,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
dos2unix,6.0-1,hermit-norcb-a,hermit-norcb,3cd78a342147b8507a6bf8ee3708007452cc7550af7bc4d7ff31b64dda39b0c7,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
dos2unix,6.0-1,hermit-norcb-b,hermit-norcb,3cd78a342147b8507a6bf8ee3708007452cc7550af7bc4d7ff31b64dda39b0c7,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
ed,1.6-2,hermit-norcb-a,hermit-norcb,3d5eef22fef2c9a46c6d0ae773d7db2ba93586ef3f6fa75dcd339832c87d6f81,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
ed,1.6-2,hermit-norcb-b,hermit-norcb,3d5eef22fef2c9a46c6d0ae773d7db2ba93586ef3f6fa75dcd339832c87d6f81,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
figlet,2.2.5-2,hermit-norcb-a,hermit-norcb,2193c46614db074c323256ec6cb83dc974f0cdb9c78e72ad01f0951422fe162d,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
figlet,2.2.5-2,hermit-norcb-b,hermit-norcb,2193c46614db074c323256ec6cb83dc974f0cdb9c78e72ad01f0951422fe162d,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
grep,2.12-2,hermit-norcb-a,hermit-norcb,3fa1ab29edbeb1f9c2cb9ce8635a74a4cf92c61f8ad75334731f09e46b17e37c,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
hostname,3.11,hermit-norcb-a,hermit-norcb,758a8c935f316e80270ad0ace88944a336e7d7b982ff44e68b276e55768535eb,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
hostname,3.11,hermit-norcb-b,hermit-norcb,758a8c935f316e80270ad0ace88944a336e7d7b982ff44e68b276e55768535eb,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
indent,2.2.11-2,hermit-norcb-a,hermit-norcb,7adb764fffd2b23c967cf5565e32ee7efd06e462a48a6a48bf876a4170e3cd1c,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
indent,2.2.11-2,hermit-norcb-b,hermit-norcb,7adb764fffd2b23c967cf5565e32ee7efd06e462a48a6a48bf876a4170e3cd1c,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
nano,2.2.6-1,hermit-norcb-a,hermit-norcb,f6a56742faf736162d0513b4d8a26110f636f4d434e918174fbe40360125d2f0,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
nano,2.2.6-1,hermit-norcb-b,hermit-norcb,f6a56742faf736162d0513b4d8a26110f636f4d434e918174fbe40360125d2f0,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
time,1.7-24,hermit-norcb-a,hermit-norcb,77d04bcd9008f3c0b9553d4fbd7b779ea20b603dba0e99cd240df736de19b33c,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
time,1.7-24,hermit-norcb-b,hermit-norcb,77d04bcd9008f3c0b9553d4fbd7b779ea20b603dba0e99cd240df736de19b33c,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
tree,1.6.0-1,hermit-norcb-a,hermit-norcb,14db4bb9f75b9c9e208d5a86e89121399134bdec13fbc2b12d4ef7c322c6f7c7,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
tree,1.6.0-1,hermit-norcb-b,hermit-norcb,14db4bb9f75b9c9e208d5a86e89121399134bdec13fbc2b12d4ef7c322c6f7c7,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
units,1.88-1,hermit-norcb-a,hermit-norcb,fd4bcdb42513a4d020fc8059d2baf17a075c5911c09aede62d8cb0e5f18f6b7d,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
units,1.88-1,hermit-norcb-b,hermit-norcb,fd4bcdb42513a4d020fc8059d2baf17a075c5911c09aede62d8cb0e5f18f6b7d,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
wdiff,1.1.2-1,hermit-norcb-a,hermit-norcb,46e9a6632612a5db7600343072f1391f3de632b86744544c23e7c619bea6b681,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
wdiff,1.1.2-1,hermit-norcb-b,hermit-norcb,46e9a6632612a5db7600343072f1391f3de632b86744544c23e7c619bea6b681,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
zip,3.0-6,hermit-norcb-a,hermit-norcb,096764bab453770c81060c435b0a976d80468d2fca5d48b56828d0bfa54fdbc1,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
zip,3.0-6,hermit-norcb-b,hermit-norcb,096764bab453770c81060c435b0a976d80468d2fca5d48b56828d0bfa54fdbc1,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:30:42Z
grep,2.12-2,hermit-norcb-b,hermit-norcb,3fa1ab29edbeb1f9c2cb9ce8635a74a4cf92c61f8ad75334731f09e46b17e37c,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T05:32:48Z
sipcalc,1.1.5-1,native-n1,native,3088b8e7a4a3d5dd142388f42418ee17403ebdf3142bf299172da234fb9dc9ac,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:02:37Z
psmisc,22.19-1+deb7u1,native-n1,native,68f338b9325c3d6876be996b933c5308439e879850792fa75d0b28962814af40,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:02:44Z
dialog,1.1-20120215-2,native-n1,native,e54374bd9df97f135c8eec4a8009a0f083644991ddfc81743f1b9e00d2faea32,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:02:44Z
sipcalc,1.1.5-1,native-n2,native,bb74c27771fb350a9c325b505deb4ab57810646feff676b58137a56070bcf974,96a29c8d74548dc9de0faa60e697e85a10e7973e74b445237f5426bbcf5dfe87,2026-08-07T06:02:45Z
