label,target_expr,mode,dose,drv,n,distinct,verdict,hashes,wall_s,notes,superseded_mode
demofast10-run-tmp-tmp,(import ./nix/nondet-demo-fast.nix) {},hermit,run --tmp=/tmp,/nix/store/mfzn9h1wv09gpqy6hhb4ds5432f6y6ng-nondet-demo.drv,10,4,NONDETERMINISTIC,1xk0sw2dlilvq065kqx62x0ncgjxnr5p9clkzzl3ff82irxid9f0 07yi866m7scfvikqhxm5w65fspyqya9bzaa8mpqbd3332nx0g4lr 0qz5m0mx071ackfdmm281zv5qv1xbp6l4cvmb1kbsbwk4acagviv 04wj7x03zyam8xva6z9kvwbzygap975n0kzm0s5p5fxgv7pw8v30 0qz5m0mx071ackfdmm281zv5qv1xbp6l4cvmb1kbsbwk4acagviv 0qz5m0mx071ackfdmm281zv5qv1xbp6l4cvmb1kbsbwk4acagviv 0qz5m0mx071ackfdmm281zv5qv1xbp6l4cvmb1kbsbwk4acagviv 0qz5m0mx071ackfdmm281zv5qv1xbp6l4cvmb1kbsbwk4acagviv 0qz5m0mx071ackfdmm281zv5qv1xbp6l4cvmb1kbsbwk4acagviv 04wj7x03zyam8xva6z9kvwbzygap975n0kzm0s5p5fxgv7pw8v30,4 4 7 4 4 4 5 8 7 2,,0
demofast10-run-tmp-tmp-no-rcb-time,(import ./nix/nondet-demo-fast.nix) {},hermit,run --tmp=/tmp --no-rcb-time,/nix/store/352lpcwxflvc50ybggj71z7v78zg43ai-nondet-demo.drv,10,2,NONDETERMINISTIC,09l62zfv57l6f6yfsp18771615895fs253p62fhs2cm5a8bdh8n0 09l62zfv57l6f6yfsp18771615895fs253p62fhs2cm5a8bdh8n0 1n43ymsnxc1cv2zgqbhxwkqplkjshl68rnkcgz3iiwp7ypsjrj0x 1n43ymsnxc1cv2zgqbhxwkqplkjshl68rnkcgz3iiwp7ypsjrj0x 09l62zfv57l6f6yfsp18771615895fs253p62fhs2cm5a8bdh8n0 09l62zfv57l6f6yfsp18771615895fs253p62fhs2cm5a8bdh8n0 1n43ymsnxc1cv2zgqbhxwkqplkjshl68rnkcgz3iiwp7ypsjrj0x 09l62zfv57l6f6yfsp18771615895fs253p62fhs2cm5a8bdh8n0 09l62zfv57l6f6yfsp18771615895fs253p62fhs2cm5a8bdh8n0 09l62zfv57l6f6yfsp18771615895fs253p62fhs2cm5a8bdh8n0,3 3 3 3 3 3 6 3 5 3,,0
demofast10-run-tmp-tmp-no-rcb-time-max-timeslice-disabled,(import ./nix/nondet-demo-fast.nix) {},hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled,/nix/store/a9rdw63mxl57glmrpw2abkny0lbvas77-nondet-demo.drv,10,2,NONDETERMINISTIC,0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn,1 2 1 1 1 1 1 1 1 1,,0
demofast10-run-tmp-tmp-no-rcb-time-max-timeslice-disabled-strict,(import ./nix/nondet-demo-fast.nix) {},hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled --strict,/nix/store/0mz1rqg6768w455j9104l9rd5p3sbhb5-nondet-demo.drv,10,2,NONDETERMINISTIC,0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj,1 1 1 1 1 1 1 1 2 1,,0
figlet,(import <nixpkgs> {}).figlet,hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/8fvm71mdwacbahd6ls0gwhx0kqpc57cn-figlet-2.2.5.drv,0,,build-fail,,,build1-failed,1
figlet,(import <nixpkgs> {}).figlet,hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled,/nix/store/k955cxvc4gn5mgw74z0ihsvy85a2adj7-figlet-2.2.5.drv,0,,build-fail,,,build1-failed,0
figlet,(import <nixpkgs> {}).figlet,native,native,/nix/store/qf5szhhdgbhaga91d9m10c0n0i98ccb3-figlet-2.2.5.drv,2,1,reproducible,0xjjizc42fhmrv92bd24xcwha8n6j89hk4kibgwxy5pagl3a570i 0xjjizc42fhmrv92bd24xcwha8n6j89hk4kibgwxy5pagl3a570i,3 3,,0
figlet-tarfix,(import ./nix/real-candidates.nix {}).figlet-tarfix,native,native,/nix/store/r2r0irpp1l5byww69j44wjq1mphldsx4-figlet-2.2.5.drv,2,1,reproducible,1715l2jgr6ynyxl4kcdajf3babg1j4kqm49flai4dajxrpsf426n 1715l2jgr6ynyxl4kcdajf3babg1j4kqm49flai4dajxrpsf426n,2 2,,0
hello,(import <nixpkgs> {}).hello,hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/jwfhzd13syz65ihimwyw8c2dqw8xmih9-hello-2.12.2.drv,0,,build-fail,,,build1-failed,1
hello,(import <nixpkgs> {}).hello,native,native,/nix/store/5g60vyp4cbgwl12pav5apyi571smp62s-hello-2.12.2.drv,2,1,reproducible,1q27ixp15f8ggr11gjfgqql5s10iwv9gnh3hqgwdwrrxwk0kc0ii 1q27ixp15f8ggr11gjfgqql5s10iwv9gnh3hqgwdwrrxwk0kc0ii,20 19,,0
hello-tarfix,(import ./nix/real-candidates.nix {}).hello-tarfix,native,native,/nix/store/6i7d9pbs0fpfxlmyj6hfccj1xp4gnyb2-hello-2.12.2.drv,2,1,reproducible,0q4v0q6lkiw92q4lhia55lgvf20ykhv4p64cain94szp0dbcw296 0q4v0q6lkiw92q4lhia55lgvf20ykhv4p64cain94szp0dbcw296,19 22,,0
hs-call-stack,(import <nixpkgs> {}).haskellPackages.call-stack,native,native,/nix/store/wnlpi8f3cpawawjr7z6l7njqvngyf0g4-call-stack-0.4.0.drv,1,,error,1nwkk3v5dhr57bb4svvhlby3mj5nxam40cnzm6kb41lf4hiyf9ni,,delete-failed,0
hs-code-page,(import <nixpkgs> {}).haskellPackages.code-page,native,native,/nix/store/79wfn9a50djiyssxx5p9inw3ll20d8vc-code-page-0.2.1.drv,3,1,reproducible,01llqm9mamh4xn62jmyrsfah22cnh080i3gfzl2rin2alcml0ahz 01llqm9mamh4xn62jmyrsfah22cnh080i3gfzl2rin2alcml0ahz 01llqm9mamh4xn62jmyrsfah22cnh080i3gfzl2rin2alcml0ahz,6 7 7,,0
hs-haskell-lexer,(import <nixpkgs> {}).haskellPackages.haskell-lexer,native,native,/nix/store/47in88wws40wj7n0z3aalq9yc2pg2k1q-haskell-lexer-1.1.2.drv,3,1,reproducible,0q8dfchb96ki7m6avcb07hzb3dny5fmzrk20vj3j8amyw5b4k49j 0q8dfchb96ki7m6avcb07hzb3dny5fmzrk20vj3j8amyw5b4k49j 0q8dfchb96ki7m6avcb07hzb3dny5fmzrk20vj3j8amyw5b4k49j,32 31 32,,0
hs-logging-facade,(import <nixpkgs> {}).haskellPackages.logging-facade,native,native,/nix/store/x288m1sg91r8jf01qsg44ia85ln2dkv6-logging-facade-0.3.1.drv,3,1,reproducible,1zkymdzlxqkvg4fdn8j2w1mjixn6x2xwni8bgwrywdlp4barl9im+0nnjnwjmjyhgh7aclgf5gmygy6mx4n1wyd7wpmrpmh8xvrp8v1mh 1zkymdzlxqkvg4fdn8j2w1mjixn6x2xwni8bgwrywdlp4barl9im+0nnjnwjmjyhgh7aclgf5gmygy6mx4n1wyd7wpmrpmh8xvrp8v1mh 1zkymdzlxqkvg4fdn8j2w1mjixn6x2xwni8bgwrywdlp4barl9im+0nnjnwjmjyhgh7aclgf5gmygy6mx4n1wyd7wpmrpmh8xvrp8v1mh,8 8 7,,0
hs-nanospec,(import <nixpkgs> {}).haskellPackages.nanospec,native,native,/nix/store/jrr1zm2313hw65cv6xzlxl0iqjc76n82-nanospec-0.2.2.drv,3,1,reproducible,07c3k7mrizilmb2k68xwd2a8ggiilh6l9fllx4yk770lxm0gwfwk+0bdl81v3grqbprs7hpm59lx1jhnxqw4y0gqn6lxrzvvrc9xvnnj2 07c3k7mrizilmb2k68xwd2a8ggiilh6l9fllx4yk770lxm0gwfwk+0bdl81v3grqbprs7hpm59lx1jhnxqw4y0gqn6lxrzvvrc9xvnnj2 07c3k7mrizilmb2k68xwd2a8ggiilh6l9fllx4yk770lxm0gwfwk+0bdl81v3grqbprs7hpm59lx1jhnxqw4y0gqn6lxrzvvrc9xvnnj2,6 6 6,,0
hs-os-string,(import <nixpkgs> {}).haskellPackages.os-string,native,native,/nix/store/33q3c0zv3sff68cjigmxcjpynf92wc5p-os-string-2.0.7.drv,3,1,reproducible,0ap7qh7arp8wl0p0qig32wywf75ngcpf0bcdjh4d98mzrcfsvm0f 0ap7qh7arp8wl0p0qig32wywf75ngcpf0bcdjh4d98mzrcfsvm0f 0ap7qh7arp8wl0p0qig32wywf75ngcpf0bcdjh4d98mzrcfsvm0f,101 101 101,,0
hs-unliftio-core,(import <nixpkgs> {}).haskellPackages.unliftio-core,native,native,/nix/store/6nkl247db5irbibl560cb0f2zpsn96fw-unliftio-core-0.2.1.0.drv,3,1,reproducible,1qmn0b8spvzj3wlpi3vnhl6jn1w6m6k2fzcwwj7gsbwna62gnvhq 1qmn0b8spvzj3wlpi3vnhl6jn1w6m6k2fzcwwj7gsbwna62gnvhq 1qmn0b8spvzj3wlpi3vnhl6jn1w6m6k2fzcwwj7gsbwna62gnvhq,6 6 6,,0
hs-utf8-string,(import <nixpkgs> {}).haskellPackages.utf8-string,native,native,/nix/store/lhmrxkk37mlwk12ssvv036xy4m9j189g-utf8-string-1.0.2.drv,3,1,reproducible,0z6fqcq5y1p6ipx5k5nvr12yxsz3lkxqkhdxmv2hq6piyx3s378p+1ssjk7154a7bfi2nkh0jv0jipdmvjb436h0hgikdja7n4gfbvhva 0z6fqcq5y1p6ipx5k5nvr12yxsz3lkxqkhdxmv2hq6piyx3s378p+1ssjk7154a7bfi2nkh0jv0jipdmvjb436h0hgikdja7n4gfbvhva 0z6fqcq5y1p6ipx5k5nvr12yxsz3lkxqkhdxmv2hq6piyx3s378p+1ssjk7154a7bfi2nkh0jv0jipdmvjb436h0hgikdja7n4gfbvhva,12 13 12,,0
lensfun,(import <nixpkgs> {}).lensfun,hermit,run --no-namespace --no-rcb-time --max-timeslice disabled +setarch-R,/nix/store/cb5nh7gdcd6z4wkd8x9cc0d2cy6qzp8s-lensfun-0.3.4.drv,0,,build-fail,,,build1-failed,1
lensfun,(import <nixpkgs> {}).lensfun,native,native,/nix/store/01pd7dfb7fn23c082qys0f92h8mfrcbm-lensfun-0.3.4.drv,3,3,NONDETERMINISTIC,17r8fxjwqg978q88s6ikmnjbnwrdxlpxbq10mjs4ri7ybyl6vi7y 0bwvk74gmpw4nj4m4r380r03vpyna2gspkwfjg2724lx4j3l3lka 0wa6q6i0j8ypjj5d4dlk33qkyxxxvwx6d4x4k8az1k4bnafryngn,7 7 7,,0
lensfun-tarfix,(import ./nix/real-candidates.nix {}).lensfun-tarfix,native,native,/nix/store/xs2pp2l4p791l0q0f4likpazn6zw0n7k-lensfun-0.3.4.drv,3,3,NONDETERMINISTIC,1cxy3mja5x8fhys1nj7fr6x64a6a459fyf4ppvdvmmcgmahfxpyj 0rjdpjy395nlb0gy4lsqmgjiyj4dxa7s1lsbnsiibhi32cv9pc8j 1q7gsq7b4rbfllfgk22fvlmjbz8ymiq3gqcna9kh4pdryy603qbq,7 6 7,,0
libarchive,(import <nixpkgs> {}).libarchive,native,native,/nix/store/a0yl8jdzmh4892ndyqxf8kg059q8asmq-libarchive-3.8.1.drv,0,,error,,,delete-failed:/nix/store/a3w3ka2d796ghlhf31il839c0658m5ih-cmake-3.31.7;/nix/store/s56j2jrcmgmdirva0yrpqjl6icb05bjw-elfutils-0.193-bin;,0
n20-nondet-demo,(import ./nix/nondet-demo.nix) {},native,native,/nix/store/0d51xyvk1y4c3a1bclnzcbafbfljn9c4-nondet-demo.drv,20,20,NONDETERMINISTIC,1wkc51lzva1hhlh3g9c9p55qnnhnl51nmccjp222gz3pgyins58y 087hlv9955cyjidv9r36y1iv0igr8ksffwklkascrnp06nps4xsh 1w6lq1cjqfnfscqvgaz67c029nlwdcwpys1cfskpjagfqls5yrhw 0rpas37znfwqkdrzbai9722xjy015ici2g5jqxz1vmzdfixdlq87 038swkkpm9q5fxi5n8qbfm7fc72bfb4kfzzh3fardh061wazz6m1 1sfiv5ng79jnmx8db6n14mcva5sgv3krhaar2lf8v1b46lr68jwy 0fa0nvkgv4qv3p5yqkdg9c6jzfbard76gcrdr5gcnfbzvngj4y0i 1qaqwwjwkw3cdli4jr9ln9pkm0f0xcpphvvry917fx67szipvxm5 01svvi1n49vy9pfplgyjixcs43wjkmh5f411qawzkszdabby1k8z 1snfwi00w131xfm2s9p3bn5ixwa3xzssvr20xb1w760wqcj7dwj4 0vphlw7nzqkw2364znkkw97wskd74cfnl4llswm5laxmzkfcgj2m 1qsj1w16idi2jfy8jxx14f7hk9yli63k6c5939h9fbqgvi1vvbha 0nbwxs43mbb1bcwd95y7ijfbhifgqb7hm7xqnaj0fh89g0yrrwjp 0h6llkcbn7dh3pq6m11i8zz7x1rclrxhi7m3zpxpazfgj6zlmh3m 1zlcc2019l965dm7f2ahc8ihgwyz5jzqylnbjy7d420lxhawc2hc 10zc360mj77944b13rzzaib3yb1jyrrfcfm2d7qskwf25rnzpq9y 16ybi2vqda5lh5mly70ggnxni73kvinbrqkcdm2gl9fp25jmdbnf 1lmgp3fkgc6pjhls3nflpdyajx5qkcdxw7fc315npb060vk2mrfv 19dx0vwfppnf836jxvnnlrqk5hsr2fcmhdsiz58gfnfh0j7vmhl3 01wr0p5hjziwbbgbqm5rsv07y3v3aszdxzwlphq1bffhs31bz4x4,1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0,,0
n20-nondet-demo-fast,(import ./nix/nondet-demo-fast.nix) {},hermit,run --tmp=/tmp --no-rcb-time --max-timeslice disabled,/nix/store/a9rdw63mxl57glmrpw2abkny0lbvas77-nondet-demo.drv,20,2,NONDETERMINISTIC,0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 1l7h865j0qb3w82q51irw43lxw93rggz373ij6hmcdn9dcjx4pfn 0wwlb5szq4v7q40366kxc20q2shcbh76v16askx1ha7prampksaj,1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1,,0
n20-nondet-demo-fast,(import ./nix/nondet-demo-fast.nix) {},native,native,/nix/store/8hk24bav45fd4mlwl6xqw87fawjidpw4-nondet-demo.drv,20,20,NONDETERMINISTIC,0dwimqajc1s841lisbmw3x84pwhknvxncqs09r9y55jg6k5jz9ii 09nag549ym44npvq960ffyhjcdlqrs059nkw11n63nz0zwp4i38p 17smmrik7cjbrj4b0vfpx42fbxx13w2cyisiixbws5qnlb4pd7wn 1jzpcbdmy1pwm275c3naaqdkw32l8hzwvpwwqjbdmws8p5n819xi 1zc243zj3kvwyxikl9dd30h8vg8dx1dvm356g5xfk54k2i848dzm 1h34bww51rrwd56w9za2kn1hk7w4w2k569zhnyzpf3xfrr0dslbm 0y9hxsan739pikxplg98b0csrrxmci0b5kca95g6mqx7dqvvpa76 0gris50dpcnmkds2901xpndayhbma2d5cs68lzg6gr28d4nk64y0 16w30sd2hjyf2ab8ipxarhgaqxl4a5d178ca0pbb1aykxf9gwp5d 1xk4bhyfsmnvkcj93pssq1ndcilc3j8dvwfh0cmjj5bq3d123n2s 07blir77w1vzx4mhms8g2v4zp98cb752v4gx9fljrrj5zi0yvla7 03mgmqjxh5q1k0ga67xn0dybnm06blavrmwbkywc8g29wv0yvgnw 1cjn1agim6jw0yj9x92x3sismcyyrhk1v3s7zwnjha6l6vdy4bpj 0bzjnxc7nfbmjpyhyp6cx0nva55fz064fsmb1aggv6ndsvvm11rr 1qmz47z2b0bihr5hi051kjq7nlwzqa9jds0dwqyfqm15mq4f4bin 1xnpyb1zi2dncisy99i0hfhaffp0my4dhpq7z887nfzi18jwhnvy 0bl873zdjk1lxgw6sqh6p24f6j5ffzbk2vsix8nfzmiwbgphjw7c 19q7jf4n3yn4ln3ca174qari1isydb3sfxwkikbi2fbnsy86cw7b 0fyy0jlrgnjxydvqvwcmk3ki3grc8jcdzx0iq7xp5zw1fz1xnd9j 13i756kkh2avfj2wvfzhnhns3q92j0q5i2rzz6yw2lm3c9y7nxq0,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1,,0
