run_id,run_utc,hermit_sha,reverie_sha,dirty,run_mode,lane,bucket,test_id,test_mode,backend,cell_state,outcome,deterministic,parity,output_hash,duration_ms,max_rss_kb,reason
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/sysinfo,verify,liteinst,expansion,pass,1,0,9bbc9ccaaf8312d7bb6b21bb5c447d23b49e9fc6c98c7c4e10aac6a7279e3634,1603,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/sysinfo-uptime,verify,liteinst,expansion,diverge,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,998,,liteinst-verify-fail-exit1
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/syslog-deterministic,verify,liteinst,expansion,pass,1,1,c23edf066d3bda360f91b47308f840e8b42b87278b5e379c8d71d8bf10a255d2,1667,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/sysv-sem-enosys,verify,liteinst,expansion,pass,1,1,f024dd91d8c142074c08ff93925022b5acfeab0e3d58d7ea1fdbdee13ebada99,1606,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/sysv-shm-enosys,verify,liteinst,expansion,pass,1,1,7b4564e64aa38d43273e5e7e1df8e80071b1c9219f7de2628fa37e6ab4da5794,1640,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/tcp-info-accept4,verify,liteinst,expansion,pass,1,1,c830be750b315e97d977e5cc40104658ccccaf34f1b26068556c22b37f7cf950,1827,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/tcp-info-accept6,verify,liteinst,expansion,pass,1,1,4b386d711c9c58617076dd9ffc01f4f517fc3f6d7d1a21c78d5b728fa66ad5ec,1755,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/tcp-info-client4,verify,liteinst,expansion,pass,1,1,29047556927b663805202185a671154cc0f9331208fdb57bc9fefe51e26f9d74,1731,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/tee-enosys,verify,liteinst,expansion,pass,1,1,1c8d3e5b5c25e921430729592b73be499a63f45dc355ac8686a3070d1e2f6108,1682,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/threadexhaustion,verify,liteinst,expansion,diverge,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1066,,liteinst-verify-fail-exit1
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/thread-self-procfs-handoff,verify,liteinst,expansion,diverge,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1092,,liteinst-verify-fail-exit1
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/thread-sync-determinism,verify,liteinst,expansion,diverge,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1043,,liteinst-verify-fail-exit1
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/timer-create-determinism,verify,liteinst,expansion,pass,1,1,88d3c6bddc5cce602a98a315d6413f65c9be3b4af294699a8a553337ef4033ae,1746,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/uname,verify,liteinst,expansion,pass,1,1,29a9d1c5f680e45d5fdca33498014a47ce0a123af49e3fecb74543db547788be,1678,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/unix-autobind-dgram,verify,liteinst,expansion,pass,1,1,b3679cef7d4cbb0bfc40803796036d2ea2e8262e846ad4d345c0c0646e79d21b,1695,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/unix-autobind-seqpacket,verify,liteinst,expansion,pass,1,1,adab29374a2e454a06823fd8e1ecc9ba038ed4be7ad9f95ae67cebeec58a3d8c,1675,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/unix-autobind-stream,verify,liteinst,expansion,pass,1,1,91304ad318232da9ea6432240290691ddc20ad0ebf2e4c889c7ab6cd3f71db0c,1692,,
liteinst-fullcorpus-scorecard,@1785621697,82a8e853357584a3a567fd80812e015572a607c7,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,expansion,portable,c-programs,c-programs/ustat-enosys,verify,liteinst,expansion,pass,1,1,a3385f3800f1f726246c5551a73e98c6ae29a6dd2757326caac8afdf53bb90d3,1665,,
