bucket,test_id,program,lane,scope_state,ptrace_exit,num_processes,num_threads,liteinst_exit,verify_exit,parity,deterministic,ptrace_stdout_sha256,liteinst_stdout_sha256,duration_ms,reason
c-programs,c-programs/futex-waitv-enosys,tests/c/futex_waitv_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,889b019ce9ffec65e091b4ebb00324388abe68095b3a9aebf5a6243a8d00540e,889b019ce9ffec65e091b4ebb00324388abe68095b3a9aebf5a6243a8d00540e,1387,
c-programs,c-programs/futex-wake-enosys,tests/c/futex_wake_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,d841d882ef04ba206243543971a6e2d842db22c3508947d6fb60095d878b0da9,d841d882ef04ba206243543971a6e2d842db22c3508947d6fb60095d878b0da9,1437,
c-programs,c-programs/get-robust-list-child,tests/c/get_robust_list_child.c,portable,excluded-topology,0,2,2,,,,,379982e3aff5bd3550ff784c6a8e1b9116997dd882bf426aa10fd41e713fc526,,,outside-scope-processes2-threads2
c-programs,c-programs/get-robust-list-self,tests/c/get_robust_list_self.c,portable,measured-spst,0,1,1,0,0,1,1,8a606e83612b4b4c869cfae1cd2f9f03220d7fde25cc88f10079b81f9b3423d1,8a606e83612b4b4c869cfae1cd2f9f03220d7fde25cc88f10079b81f9b3423d1,1414,
c-programs,c-programs/get-robust-list-thread,tests/c/get_robust_list_thread.c,portable,excluded-topology,0,1,2,,,,,281d743aba1e1247003f2ad95dda0456f103ab208c1d960079fd0ac272560d4c,,,outside-scope-processes1-threads2
c-programs,c-programs/getcpu,tests/c/getCpu.c,portable,measured-spst,0,1,1,0,0,1,1,345e84333a5805a44f38c499137ebb962d9e683e804aa45642afa84e41127f5d,345e84333a5805a44f38c499137ebb962d9e683e804aa45642afa84e41127f5d,1452,
c-programs,c-programs/getitimer-determinism-probe,tests/c/getitimer_determinism_probe.c,portable,measured-spst,0,1,1,0,0,1,1,17720cebaa5ab1c96e7035832f98c160d4b41b2c32a7bd909ca74d855fa5aaf9,17720cebaa5ab1c96e7035832f98c160d4b41b2c32a7bd909ca74d855fa5aaf9,1386,
c-programs,c-programs/getsockopt-null,tests/c/getsockopt_null.c,portable,measured-spst,0,1,1,0,0,1,1,b8636471f62fb5c81c4b4a5bacf5f4ec2b3e3b4970bc0aded5f496dae6670bfd,b8636471f62fb5c81c4b4a5bacf5f4ec2b3e3b4970bc0aded5f496dae6670bfd,1401,
c-programs,c-programs/hello-alarm,tests/c/hello_alarm.c,portable,measured-spst,0,1,1,0,0,1,1,69771519a00dad7a34964816b4a9d71896eed8707b6b8c7c3b2d901285fa09f8,69771519a00dad7a34964816b4a9d71896eed8707b6b8c7c3b2d901285fa09f8,1415,
c-programs,c-programs/hello-nostdlib,tests/c/simple/hello_nostdlib.c,portable,excluded-static,,,,,,,,,,,static-elf-outside-liteinst-preload-scope
c-programs,c-programs/hello-signals,tests/c/hello_signals.c,portable,measured-spst,0,1,1,0,0,1,1,2b4df140dfdd472e4bde5c4d449c859ae4a83efe7f0372f448b95db8b40614d8,2b4df140dfdd472e4bde5c4d449c859ae4a83efe7f0372f448b95db8b40614d8,1385,
c-programs,c-programs/io-uring-fallback,tests/c/io_uring_fallback.c,portable,measured-spst,0,1,1,0,0,1,1,8546e30d188b0b196b8d907e1289e7b830df6fd61ff9dd83f5165ba9bda77e7f,8546e30d188b0b196b8d907e1289e7b830df6fd61ff9dd83f5165ba9bda77e7f,1416,
c-programs,c-programs/io-uring-ring-determinism,tests/c/io_uring_ring_determinism.c,portable,measured-spst,0,1,1,0,0,1,1,5de332a6e2af5315f34ec08e21ca7f8c037a65ecbaee17efd47005a7f1809201,5de332a6e2af5315f34ec08e21ca7f8c037a65ecbaee17efd47005a7f1809201,1566,
c-programs,c-programs/ioctl-fioclex,tests/c/ioctl_fioclex.c,portable,measured-spst,0,1,1,0,0,1,1,ed203ed9433cb973a747cbe39690fecc753e9fd7c1e7688563d6f3a154eb0d5e,ed203ed9433cb973a747cbe39690fecc753e9fd7c1e7688563d6f3a154eb0d5e,157829,
c-programs,c-programs/ioctl-siocethtool,tests/c/ioctl_siocethtool.c,portable,measured-spst,0,1,1,0,0,1,1,28f38ce93b6d5f0d279d4f3d619cc3fc7e134e190ae9ee4f652eeb6afe623291,28f38ce93b6d5f0d279d4f3d619cc3fc7e134e190ae9ee4f652eeb6afe623291,157636,
c-programs,c-programs/ipc-determinism,tests/c/ipc_determinism.c,portable,unclassified,2,,,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,ptrace-reference-fail-exit2
c-programs,c-programs/just-spin,tests/c/just_spin.c,portable,excluded-topology,0,1,2,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,outside-scope-processes1-threads2
c-programs,c-programs/kcmp-eperm,tests/c/kcmp_eperm.c,portable,measured-spst,0,1,1,0,0,1,1,288278193317b71ec5d15a6dcc2239918b1eea39229a8ef5eb7ae1e6b0a72cce,288278193317b71ec5d15a6dcc2239918b1eea39229a8ef5eb7ae1e6b0a72cce,157491,
c-programs,c-programs/keyctl-enosys,tests/c/keyctl_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,83d9f2169baa0647471ca5f2e4e1c5b73ff2d356b322b7fcdd75d5cf129a292f,83d9f2169baa0647471ca5f2e4e1c5b73ff2d356b322b7fcdd75d5cf129a292f,157456,
c-programs,c-programs/keyctl-passthrough,tests/c/keyctl_passthrough.c,portable,measured-spst,0,1,1,0,0,1,1,decfa402c4223a34ee494253769befc420b46b13da25f3082c91dfe7f19a0310,decfa402c4223a34ee494253769befc420b46b13da25f3082c91dfe7f19a0310,157406,
c-programs,c-programs/listmount-enosys,tests/c/listmount_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,231c3dfcda497bd1b166dfb575578d2868721d30f15362cfabcad6f930e43713,231c3dfcda497bd1b166dfb575578d2868721d30f15362cfabcad6f930e43713,157932,
c-programs,c-programs/liteinst-advanced,tests/c/liteinst_advanced.c,portable,unclassified,2,,,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,ptrace-reference-fail-exit2
c-programs,c-programs/lsm-get-self-attr-enosys,tests/c/lsm_get_self_attr_enosys.c,portable,unclassified,124,,,,,,,e83dcdfbdee854f34e05165d3a7aa7b774ca748bc96ee665789c63a32c593fe0,,,ptrace-reference-fail-exit124
c-programs,c-programs/lsm-list-modules-enosys,tests/c/lsm_list_modules_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,8f5862ec33defb2bf2625429444eaec8b64ce9b7d2c21635e7db07f99c92fc3d,8f5862ec33defb2bf2625429444eaec8b64ce9b7d2c21635e7db07f99c92fc3d,1502,
c-programs,c-programs/lsm-set-self-attr-enosys,tests/c/lsm_set_self_attr_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,326c5b270af2a116865e2690f44310bc17aa77c6cc96d4c83800615036e10e16,326c5b270af2a116865e2690f44310bc17aa77c6cc96d4c83800615036e10e16,1582,
c-programs,c-programs/madvise-determinism,tests/c/madvise_determinism.c,portable,measured-spst,0,1,1,0,0,1,1,c6053a1ebd42e4762ac34b01ed5d666e0b1f5f18b83ddca9d1b7f4ebef175e83,c6053a1ebd42e4762ac34b01ed5d666e0b1f5f18b83ddca9d1b7f4ebef175e83,1548,
c-programs,c-programs/map-shadow-stack-enosys,tests/c/map_shadow_stack_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,97ae187dd98c3d4b943dd9b69d472da499f0ef3ae9b2c66152d2ed5dc04bd569,97ae187dd98c3d4b943dd9b69d472da499f0ef3ae9b2c66152d2ed5dc04bd569,1491,
c-programs,c-programs/memfd-secret-enosys,tests/c/memfd_secret_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,dcbbb5f4e71889cba127631a6a9a2fce4d68defe8aa92a8d437fd6be6129d6dd,dcbbb5f4e71889cba127631a6a9a2fce4d68defe8aa92a8d437fd6be6129d6dd,1529,
c-programs,c-programs/meminfo-available-deterministic,tests/c/meminfo_available_deterministic.c,portable,measured-spst,0,1,1,0,0,1,1,7b76f77046d0c4bc8e2105f9850b009d269b48c26e0b7de4723c8adc25181af4,7b76f77046d0c4bc8e2105f9850b009d269b48c26e0b7de4723c8adc25181af4,1511,
c-programs,c-programs/meminfo-cached-deterministic,tests/c/meminfo_cached_deterministic.c,portable,measured-spst,0,1,1,0,0,1,1,6a4a1ce51b1c48a3c39972e58451953b36a3a49ed40cdf242978e2c2da4cabe4,6a4a1ce51b1c48a3c39972e58451953b36a3a49ed40cdf242978e2c2da4cabe4,1605,
c-programs,c-programs/meminfo-free-deterministic,tests/c/meminfo_free_deterministic.c,portable,measured-spst,0,1,1,0,0,1,1,b8a06902cd8245cc3d8acabb5118c81f14b6455c7e6d5da9cf2e59f0b0bcc9da,b8a06902cd8245cc3d8acabb5118c81f14b6455c7e6d5da9cf2e59f0b0bcc9da,1552,
c-programs,c-programs/memorypress,tests/c/memoryPress.c,portable,measured-spst,0,1,1,0,0,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1393,
c-programs,c-programs/mmap-determinism,tests/c/mmap_determinism.c,portable,unclassified,2,,,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,ptrace-reference-fail-exit2
c-programs,c-programs/mmap-stress-determinism,tests/c/mmap_stress_determinism.c,portable,measured-spst,0,1,1,0,0,1,1,890065cac586dbeaf7ae771f63d223dd2d04995b4e051040bdd9c9792019dec0,890065cac586dbeaf7ae771f63d223dd2d04995b4e051040bdd9c9792019dec0,2231,
c-programs,c-programs/name-to-handle-at-eopnotsupp,tests/c/name_to_handle_at_eopnotsupp.c,portable,measured-spst,0,1,1,0,0,1,1,29e0c39b5f7ab315794d97b7e06e60cf737450deef4306dd8ad0ffd040a25cc0,29e0c39b5f7ab315794d97b7e06e60cf737450deef4306dd8ad0ffd040a25cc0,1541,
c-programs,c-programs/name-to-handle-directory-eopnotsupp,tests/c/name_to_handle_directory_eopnotsupp.c,portable,measured-spst,0,1,1,0,0,1,1,7e5656f3fa9831a9c1f43055b26f6f209b6549daeb42ef1ce12677b324adf310,7e5656f3fa9831a9c1f43055b26f6f209b6549daeb42ef1ce12677b324adf310,1442,
c-programs,c-programs/name-to-handle-empty-path-eopnotsupp,tests/c/name_to_handle_empty_path_eopnotsupp.c,portable,measured-spst,0,1,1,0,0,1,1,e3f9de47951c04e5f8349e7bb340fca6dcb76fffe659a12ab8f9e16fe48f72dd,e3f9de47951c04e5f8349e7bb340fca6dcb76fffe659a12ab8f9e16fe48f72dd,1441,
c-programs,c-programs/name-to-handle-regular-eopnotsupp,tests/c/name_to_handle_regular_eopnotsupp.c,portable,measured-spst,0,1,1,0,0,1,1,82b589b3f458bbdcffe0a9aaf1a18ab2cfe882ab232290e1ca113714923af2a0,82b589b3f458bbdcffe0a9aaf1a18ab2cfe882ab232290e1ca113714923af2a0,1429,
c-programs,c-programs/nanosleep-par,tests/c/nanosleep-par.c,portable,excluded-topology,0,2,2,,,,,bf8aa1c7b00aeb67d9ce84b6efe29c410ef142938a5c71a932bbe34e2cf09f91,,,outside-scope-processes2-threads2
c-programs,c-programs/nanosleep-threads-nocrash,tests/c/simple/nanosleep-threads-nocrash.c,portable,excluded-topology,0,1,2,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,outside-scope-processes1-threads2
c-programs,c-programs/nanosleep-threads-simple,tests/c/simple/nanosleep-threads-simple.c,portable,unclassified,-11,,,,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,ptrace-reference-fail-exit-11
c-programs,c-programs/netlink-autobind-generic,tests/c/netlink_autobind_generic.c,portable,measured-spst,0,1,1,0,0,1,1,947db933d2beaaa7502b24b06bc2aa623116320e9099408e0714af30e877b237,947db933d2beaaa7502b24b06bc2aa623116320e9099408e0714af30e877b237,1466,
c-programs,c-programs/netlink-autobind-route,tests/c/netlink_autobind_route.c,portable,measured-spst,0,1,1,0,0,1,1,6b579b3015fa46b849f2c563d3caa3f1113b30eda45f2c376a535ade155a5264,6b579b3015fa46b849f2c563d3caa3f1113b30eda45f2c376a535ade155a5264,1468,
c-programs,c-programs/netlink-autobind-usersock,tests/c/netlink_autobind_usersock.c,portable,measured-spst,0,1,1,0,0,1,1,434cfac765f7a108d0f27c8b43ba45a2b7acff66219ef8104a01612dd7e70956,434cfac765f7a108d0f27c8b43ba45a2b7acff66219ef8104a01612dd7e70956,1426,
c-programs,c-programs/netns-cookie-tcp4,tests/c/netns_cookie_tcp4.c,portable,measured-spst,0,1,1,0,0,1,1,69c87be106187443c99bd437315cc2bb5e8110445a962b89b9d3d9d5446a505e,69c87be106187443c99bd437315cc2bb5e8110445a962b89b9d3d9d5446a505e,1440,
c-programs,c-programs/netns-cookie-tcp6,tests/c/netns_cookie_tcp6.c,portable,measured-spst,0,1,1,0,0,1,1,a6c1c996f6bed470020b9575b0884d32ba10a29938b56ce56dbcbce889a1c719,a6c1c996f6bed470020b9575b0884d32ba10a29938b56ce56dbcbce889a1c719,1484,
c-programs,c-programs/netns-cookie-udp4,tests/c/netns_cookie_udp4.c,portable,measured-spst,0,1,1,0,0,1,1,3f3599e44c7dcd4ec95cf8d9e67c01200ce6a491020b553a010b6ee754095bb0,3f3599e44c7dcd4ec95cf8d9e67c01200ce6a491020b553a010b6ee754095bb0,1401,
c-programs,c-programs/perf-event-hardware-enosys,tests/c/perf_event_hardware_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,c7ea49ae4eac3a1842c692e71eff658fde408e8ccb4b9a1efa9094b58a8d453a,c7ea49ae4eac3a1842c692e71eff658fde408e8ccb4b9a1efa9094b58a8d453a,1451,
c-programs,c-programs/perf-event-open-enosys,tests/c/perf_event_open_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,2ce5d62fee05f49913ea9ac04a79850be9af6e16eae2083b3054c2186d1fd933,2ce5d62fee05f49913ea9ac04a79850be9af6e16eae2083b3054c2186d1fd933,1457,
c-programs,c-programs/perf-event-software-enosys,tests/c/perf_event_software_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,9dd8d0a9c51029d92fb24312cc38b62b647ab6e796f26f0670e2e54d062b54b6,9dd8d0a9c51029d92fb24312cc38b62b647ab6e796f26f0670e2e54d062b54b6,1381,
c-programs,c-programs/perf-event-watchpoint-enosys,tests/c/perf_event_watchpoint_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,a3c1e5e84ae8a1c634c0fd8ad162c35918124d312ed7e23f44555334e58daf40,a3c1e5e84ae8a1c634c0fd8ad162c35918124d312ed7e23f44555334e58daf40,1442,
c-programs,c-programs/periodic-setitimer-delivery,tests/c/periodic_setitimer_delivery.c,portable,measured-spst,0,1,1,0,0,1,1,db1d924766d35b4e879b61b7ca0256ae3656e1bcfb81e882ef4e754d9df0d87d,db1d924766d35b4e879b61b7ca0256ae3656e1bcfb81e882ef4e754d9df0d87d,1418,
c-programs,c-programs/pidfd-open-self,tests/c/pidfd_open_self.c,portable,measured-spst,0,1,1,0,0,1,1,eb85b13112d24bf3eabf6dc998951dba694fd8a544d48d55b0243fcea3a30de9,eb85b13112d24bf3eabf6dc998951dba694fd8a544d48d55b0243fcea3a30de9,1447,
c-programs,c-programs/pidfd-poll-self,tests/c/pidfd_poll_self.c,portable,measured-spst,0,1,1,0,0,1,1,d9c4e30a92ce688e867036dd07e60be370ba398f888f35db4edc54730e9abe08,d9c4e30a92ce688e867036dd07e60be370ba398f888f35db4edc54730e9abe08,1470,
c-programs,c-programs/pidfd-waitid-child,tests/c/pidfd_waitid_child.c,portable,excluded-topology,0,2,2,,,,,a5312c9bad9f61e041807833d0d2381242569ed832c394aebb4f57e50e475a80,,,outside-scope-processes2-threads2
c-programs,c-programs/ppoll-readv,tests/c/ppoll_readv.c,portable,measured-spst,0,1,1,0,0,1,1,c03be617b251e1b37d3570212e2f93d6a815c70dfb73dca0dd25cef02468153a,c03be617b251e1b37d3570212e2f93d6a815c70dfb73dca0dd25cef02468153a,1482,
c-programs,c-programs/ppoll-simulation,tests/c/ppoll_simulation.c,portable,excluded-topology,0,1,2,,,,,8ed6c0a2fbe8457da0a0b394c05e4ce42009f4631451de6c41e371d77a9068f5,,,outside-scope-processes1-threads2
c-programs,c-programs/prctl-dumpable,tests/c/prctl_dumpable.c,portable,measured-spst,0,1,1,0,0,1,1,789f3fd97e00c2b30751851b5bd08f2703b2539a14421d29dea17db83c379696,789f3fd97e00c2b30751851b5bd08f2703b2539a14421d29dea17db83c379696,1468,
c-programs,c-programs/pread64-nostdlib,tests/c/simple/pread64_nostdlib.c,portable,excluded-static,,,,,,,,,,,static-elf-outside-liteinst-preload-scope
c-programs,c-programs/print-memaddrs,tests/c/print_memaddrs.c,portable,measured-spst,0,1,1,0,0,0,1,d91f2e1470c7e2c43bcdf87c02b58ff1ec7e9a8a682d5952a5ed06dadbc1d0f1,494438e2858598c215499aa51f2b66bfa76dd673f72ed036c7145b9525a9b378,1439,ptrace-exit-stdout-mismatch
c-programs,c-programs/printf-with-threads,tests/c/printf_with_threads.c,portable,excluded-topology,0,1,2,,,,,e36a044d5d2a2be76cbf0550fa744da4e751c78870cf3712ebc061f1a2c55f83,,,outside-scope-processes1-threads2
c-programs,c-programs/proc-fd-link-aliases,tests/c/proc_fd_link_aliases.c,portable,measured-spst,0,1,1,0,0,0,1,26308d1897ac6472d27d73b3e32da7945c2a2ffac69e35bfd4c8bf1bb708b5e5,6322d517877032af9ec696d68a488db593acad02fe4267164a6962ffbcce186c,1468,ptrace-exit-stdout-mismatch
c-programs,c-programs/proc-fdinfo,tests/c/proc_fdinfo.c,portable,measured-spst,0,1,1,0,0,0,1,09c8d421c9e02c39d1a9a12743b93cf3c835778ba9d531ad35625cb8f1699033,a9f65739bca3deaed081e9926dd1193db80e35a6abd58d60374085d9d09d5b73,1469,ptrace-exit-stdout-mismatch
c-programs,c-programs/proc-locks,tests/c/proc_locks.c,portable,measured-spst,0,1,1,0,0,1,1,fa314d5543a63dd3d6317f97c24feb7b33c9a47fbeea304c79fbd732f5fea7a6,fa314d5543a63dd3d6317f97c24feb7b33c9a47fbeea304c79fbd732f5fea7a6,1704,
c-programs,c-programs/process-mrelease-enosys,tests/c/process_mrelease_enosys.c,portable,measured-spst,0,1,1,0,0,1,1,c21e5000294b34b0a296fdceaa1377156cde383448706c80e1f4ad705bfdb076,c21e5000294b34b0a296fdceaa1377156cde383448706c80e1f4ad705bfdb076,1393,
c-programs,c-programs/process-vm-readv-refusal-probe,tests/c/process_vm_readv_refusal_probe.c,portable,measured-spst,0,1,1,0,0,1,1,50905f5ed2b6d9b2083dc16aabfd535f7c531aa42e72dc6c2b67f36e70e97a66,50905f5ed2b6d9b2083dc16aabfd535f7c531aa42e72dc6c2b67f36e70e97a66,1408,
c-programs,c-programs/process-vm-writev-refusal-probe,tests/c/process_vm_writev_refusal_probe.c,portable,measured-spst,0,1,1,0,0,1,1,92c63d99c7bc830d36fb97a16d43febe7a7fcdca938131c9963f92c1b1a2b59d,92c63d99c7bc830d36fb97a16d43febe7a7fcdca938131c9963f92c1b1a2b59d,1388,
c-programs,c-programs/procfs-positioned-probe,tests/c/procfs_positioned_probe.c,portable,measured-spst,0,1,1,0,0,1,1,96c70ad84f7430a56bdf020c7e3c24dbbd8719d841a1cb616712b1b96ad38f03,96c70ad84f7430a56bdf020c7e3c24dbbd8719d841a1cb616712b1b96ad38f03,1419,
