leg,guest,backend,metric,value
sweep,orphan_reparent,e9patch,sd_detlog,1
sweep,orphan_reparent,e9patch,verify_rc,0
sweep,orphan_reparent,e9patch,px_pev,1
sweep,orphan_reparent,e9patch,px_tree,1
sweep,exec_chain,ptrace,sd_out,1
sweep,exec_chain,ptrace,sd_pev,1
sweep,exec_chain,ptrace,sd_detlog,1
sweep,exec_chain,ptrace,verify_rc,0
sweep,exec_chain,ptrace,px_pev,ref
sweep,exec_chain,ptrace,px_tree,ref
sweep,exec_chain,e9patch,sd_out,1
sweep,exec_chain,e9patch,sd_pev,1
sweep,exec_chain,e9patch,sd_detlog,1
sweep,exec_chain,e9patch,verify_rc,0
sweep,exec_chain,e9patch,px_pev,1
sweep,exec_chain,e9patch,px_tree,1
sweep,vfork_exec,ptrace,sd_out,1
sweep,vfork_exec,ptrace,sd_pev,1
sweep,vfork_exec,ptrace,sd_detlog,1
sweep,vfork_exec,ptrace,verify_rc,0
sweep,vfork_exec,ptrace,px_pev,ref
sweep,vfork_exec,ptrace,px_tree,ref
sweep,vfork_exec,e9patch,sd_out,1
sweep,vfork_exec,e9patch,sd_pev,1
sweep,vfork_exec,e9patch,sd_detlog,1
sweep,vfork_exec,e9patch,verify_rc,0
sweep,vfork_exec,e9patch,px_pev,1
sweep,vfork_exec,e9patch,px_tree,1
sweep,spawn_wait,ptrace,sd_out,1
sweep,spawn_wait,ptrace,sd_pev,1
sweep,spawn_wait,ptrace,sd_detlog,1
sweep,spawn_wait,ptrace,verify_rc,0
sweep,spawn_wait,ptrace,px_pev,ref
sweep,spawn_wait,ptrace,px_tree,ref
sweep,spawn_wait,e9patch,sd_out,1
sweep,spawn_wait,e9patch,sd_pev,1
sweep,spawn_wait,e9patch,sd_detlog,1
sweep,spawn_wait,e9patch,verify_rc,0
sweep,spawn_wait,e9patch,px_pev,1
sweep,spawn_wait,e9patch,px_tree,1
sweep,fork_pipe,ptrace,sd_out,1
sweep,fork_pipe,ptrace,sd_pev,1
sweep,fork_pipe,ptrace,sd_detlog,1
sweep,fork_pipe,ptrace,verify_rc,0
sweep,fork_pipe,ptrace,px_pev,ref
sweep,fork_pipe,ptrace,px_tree,ref
sweep,fork_pipe,e9patch,sd_out,1
sweep,fork_pipe,e9patch,sd_pev,1
sweep,fork_pipe,e9patch,sd_detlog,1
sweep,fork_pipe,e9patch,verify_rc,0
sweep,fork_pipe,e9patch,px_pev,1
sweep,fork_pipe,e9patch,px_tree,1
sweep,sh_pipeline,ptrace,sd_out,1
sweep,sh_pipeline,ptrace,sd_pev,1
sweep,sh_pipeline,ptrace,sd_detlog,0
sweep,sh_pipeline,ptrace,verify_rc,1
sweep,sh_pipeline,ptrace,px_pev,ref
sweep,sh_pipeline,ptrace,px_tree,ref
sweep,sh_pipeline,e9patch,sd_out,1
sweep,sh_pipeline,e9patch,sd_pev,1
sweep,sh_pipeline,e9patch,sd_detlog,0
sweep,sh_pipeline,e9patch,verify_rc,1
sweep,sh_pipeline,e9patch,px_pev,1
sweep,sh_pipeline,e9patch,px_tree,1
sweep,sh_seqtree,ptrace,sd_out,1
sweep,sh_seqtree,ptrace,sd_pev,1
sweep,sh_seqtree,ptrace,sd_detlog,1
sweep,sh_seqtree,ptrace,verify_rc,0
sweep,sh_seqtree,ptrace,px_pev,ref
sweep,sh_seqtree,ptrace,px_tree,ref
sweep,sh_seqtree,e9patch,sd_out,1
sweep,sh_seqtree,e9patch,sd_pev,1
sweep,sh_seqtree,e9patch,sd_detlog,1
sweep,sh_seqtree,e9patch,verify_rc,0
sweep,sh_seqtree,e9patch,px_pev,1
sweep,sh_seqtree,e9patch,px_tree,1
sweep,sh_nested,ptrace,sd_out,1
sweep,sh_nested,ptrace,sd_pev,1
sweep,sh_nested,ptrace,sd_detlog,1
sweep,sh_nested,ptrace,verify_rc,0
sweep,sh_nested,ptrace,px_pev,ref
sweep,sh_nested,ptrace,px_tree,ref
sweep,sh_nested,e9patch,sd_out,1
sweep,sh_nested,e9patch,sd_pev,1
sweep,sh_nested,e9patch,sd_detlog,1
sweep,sh_nested,e9patch,verify_rc,0
sweep,sh_nested,e9patch,px_pev,1
sweep,sh_nested,e9patch,px_tree,1
sweep,sh_bgjobs,ptrace,sd_out,1
sweep,sh_bgjobs,ptrace,sd_pev,1
sweep,sh_bgjobs,ptrace,sd_detlog,1
sweep,sh_bgjobs,ptrace,verify_rc,0
sweep,sh_bgjobs,ptrace,px_pev,ref
sweep,sh_bgjobs,ptrace,px_tree,ref
sweep,sh_bgjobs,e9patch,sd_out,1
sweep,sh_bgjobs,e9patch,sd_pev,1
sweep,sh_bgjobs,e9patch,sd_detlog,1
sweep,sh_bgjobs,e9patch,verify_rc,0
sweep,sh_bgjobs,e9patch,px_pev,1
sweep,sh_bgjobs,e9patch,px_tree,1
sweep,make_j1,ptrace,sd_out,1
sweep,make_j1,ptrace,sd_pev,1
sweep,make_j1,ptrace,sd_detlog,1
sweep,make_j1,ptrace,verify_rc,0
sweep,make_j1,ptrace,px_pev,ref
sweep,make_j1,ptrace,px_tree,ref
sweep,make_j1,e9patch,sd_out,1
sweep,make_j1,e9patch,sd_pev,1
sweep,make_j1,e9patch,sd_detlog,1
sweep,make_j1,e9patch,verify_rc,0
sweep,make_j1,e9patch,px_pev,1
sweep,make_j1,e9patch,px_tree,1
stress-serial-n20,forkwait_any,ptrace,distinct_pev,1
stress-serial-n20,forkwait_any,ptrace,timeouts,0
stress-serial-n20,forkwait_any,ptrace,verdict,L4-CLEAN
stress-serial-n20,zombie_delay,ptrace,distinct_pev,1
stress-serial-n20,zombie_delay,ptrace,timeouts,0
stress-serial-n20,zombie_delay,ptrace,verdict,L4-CLEAN
stress-serial-n20,orphan_reparent,ptrace,distinct_pev,1
stress-serial-n20,orphan_reparent,ptrace,timeouts,0
stress-serial-n20,orphan_reparent,ptrace,verdict,L4-CLEAN
stress-serial-n20,vfork_exec,ptrace,distinct_pev,1
stress-serial-n20,vfork_exec,ptrace,timeouts,0
stress-serial-n20,vfork_exec,ptrace,verdict,L4-CLEAN
stress-serial-n20,exec_chain,ptrace,distinct_pev,1
stress-serial-n20,exec_chain,ptrace,timeouts,0
stress-serial-n20,exec_chain,ptrace,verdict,L4-CLEAN
stress-serial-n20,fork_pipe,ptrace,distinct_pev,1
stress-serial-n20,fork_pipe,ptrace,timeouts,0
stress-serial-n20,fork_pipe,ptrace,verdict,L4-CLEAN
stress-serial-n20,sh_pipeline,ptrace,distinct_pev,1
stress-serial-n20,sh_pipeline,ptrace,timeouts,0
stress-serial-n20,sh_pipeline,ptrace,verdict,L4-CLEAN
stress-serial-n20,sh_bgjobs,ptrace,distinct_pev,1
stress-serial-n20,sh_bgjobs,ptrace,timeouts,0
stress-serial-n20,sh_bgjobs,ptrace,verdict,L4-CLEAN
stress-conc-n32c16,forkwait_any,ptrace,distinct_pev,1
stress-conc-n32c16,forkwait_any,ptrace,timeouts,0
stress-conc-n32c16,forkwait_any,ptrace,verdict,L4-CLEAN
stress-conc-n32c16,zombie_delay,ptrace,distinct_pev,1
stress-conc-n32c16,zombie_delay,ptrace,timeouts,0
stress-conc-n32c16,zombie_delay,ptrace,verdict,L4-CLEAN
stress-conc-n32c16,orphan_reparent,ptrace,distinct_pev,1
stress-conc-n32c16,orphan_reparent,ptrace,timeouts,0
stress-conc-n32c16,orphan_reparent,ptrace,verdict,L4-CLEAN
stress-conc-n32c16,vfork_exec,ptrace,distinct_pev,1
stress-conc-n32c16,vfork_exec,ptrace,timeouts,0
stress-conc-n32c16,vfork_exec,ptrace,verdict,L4-CLEAN
stress-conc-n32c16,exec_chain,ptrace,distinct_pev,1
stress-conc-n32c16,exec_chain,ptrace,timeouts,0
stress-conc-n32c16,exec_chain,ptrace,verdict,L4-CLEAN
stress-conc-n32c16,fork_pipe,ptrace,distinct_pev,1
stress-conc-n32c16,fork_pipe,ptrace,timeouts,0
stress-conc-n32c16,fork_pipe,ptrace,verdict,L4-CLEAN
stress-conc-n32c16,sh_pipeline,ptrace,distinct_pev,1
stress-conc-n32c16,sh_pipeline,ptrace,timeouts,0
stress-conc-n32c16,sh_pipeline,ptrace,verdict,L4-CLEAN
stress-conc-n32c16,sh_bgjobs,ptrace,distinct_pev,1
stress-conc-n32c16,sh_bgjobs,ptrace,timeouts,0
stress-conc-n32c16,sh_bgjobs,ptrace,verdict,L4-CLEAN
sysinfo-bracket,v_null,ptrace,sd_detlog,1
sysinfo-bracket,v_null,ptrace,sd_out,1
sysinfo-bracket,v_null,ptrace,verify_rc,0
sysinfo-bracket,v_heap,ptrace,sd_detlog,0
sysinfo-bracket,v_heap,ptrace,sd_out,0
sysinfo-bracket,v_heap,ptrace,verify_rc,1
sysinfo-bracket,v_stack,ptrace,sd_detlog,0
sysinfo-bracket,v_stack,ptrace,sd_out,0
sysinfo-bracket,v_stack,ptrace,verify_rc,1
sysinfo-bracket,v_uname,ptrace,sd_detlog,1
sysinfo-bracket,v_uname,ptrace,sd_out,1
sysinfo-bracket,v_uname,ptrace,verify_rc,0
chaos,forkwait_any,ptrace,same_seed_pev_eq,1
chaos,forkwait_any,ptrace,distinct_pev_across_3_seeds,3
chaos,forkwait_any,ptrace,verdict,REPRODUCIBLE-AND-PERTURBING
chaos,zombie_delay,ptrace,same_seed_pev_eq,1
chaos,zombie_delay,ptrace,distinct_pev_across_3_seeds,3
chaos,zombie_delay,ptrace,verdict,REPRODUCIBLE-AND-PERTURBING
chaos,orphan_reparent,ptrace,same_seed_pev_eq,1
chaos,orphan_reparent,ptrace,distinct_pev_across_3_seeds,2
chaos,orphan_reparent,ptrace,verdict,REPRODUCIBLE-AND-PERTURBING
chaos,fork_pipe,ptrace,same_seed_pev_eq,1
chaos,fork_pipe,ptrace,distinct_pev_across_3_seeds,3
chaos,fork_pipe,ptrace,verdict,REPRODUCIBLE-AND-PERTURBING
chaos,exec_chain,ptrace,same_seed_pev_eq,1
chaos,exec_chain,ptrace,distinct_pev_across_3_seeds,3
chaos,exec_chain,ptrace,verdict,REPRODUCIBLE-AND-PERTURBING
chaos,sh_bgjobs,ptrace,same_seed_pev_eq,1
chaos,sh_bgjobs,ptrace,distinct_pev_across_3_seeds,3
chaos,sh_bgjobs,ptrace,verdict,REPRODUCIBLE-AND-PERTURBING
chaos,proc_shapes,ptrace,same_seed_pev_eq,1
chaos,proc_shapes,ptrace,distinct_pev_across_3_seeds,3
chaos,proc_shapes,ptrace,verdict,REPRODUCIBLE-AND-PERTURBING
proc-shapes,proc_shapes,ptrace,sd_pev,1
proc-shapes,proc_shapes,ptrace,sd_detlog,1
proc-shapes,proc_shapes,ptrace,px_pev,ref
proc-shapes,proc_shapes,e9patch,sd_pev,1
proc-shapes,proc_shapes,e9patch,sd_detlog,1
proc-shapes,proc_shapes,e9patch,px_pev,1
