fixture,program,mode,backend,cell,actual_run
cachestat-refusal,cachestat_refusal,custom,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
cachestat-refusal,cachestat_refusal,custom,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,custom,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
cachestat-refusal,cachestat_refusal,custom,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cachestat-refusal,cachestat_refusal,custom,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,verify,ptrace,GATED-OFF(ci=false),EXECUTED ok=2 rc=0
child-subreaper-refusal,child_subreaper_refusal,verify,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
child-subreaper-refusal,child_subreaper_refusal,verify,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,verify,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
child-subreaper-refusal,child_subreaper_refusal,verify,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,verify,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,naked,ptrace,NOT-WIRED,
child-subreaper-refusal,child_subreaper_refusal,naked,kvm,NOT-WIRED,cannot-execute-here: HUNG(no verdict in 60s)
child-subreaper-refusal,child_subreaper_refusal,naked,dbi,NOT-WIRED,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,naked,liteinst,NOT-WIRED,cannot-execute-here: runtime .so missing
child-subreaper-refusal,child_subreaper_refusal,naked,sabre,NOT-WIRED,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,naked,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,replay,ptrace,DECLINED-IN-MANIFEST,
child-subreaper-refusal,child_subreaper_refusal,replay,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
child-subreaper-refusal,child_subreaper_refusal,replay,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,replay,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
child-subreaper-refusal,child_subreaper_refusal,replay,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,replay,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,chaos,ptrace,DECLINED-IN-MANIFEST,
child-subreaper-refusal,child_subreaper_refusal,chaos,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
child-subreaper-refusal,child_subreaper_refusal,chaos,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,chaos,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
child-subreaper-refusal,child_subreaper_refusal,chaos,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,chaos,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,custom,ptrace,DECLINED-IN-MANIFEST,
child-subreaper-refusal,child_subreaper_refusal,custom,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
child-subreaper-refusal,child_subreaper_refusal,custom,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,custom,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
child-subreaper-refusal,child_subreaper_refusal,custom,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
child-subreaper-refusal,child_subreaper_refusal,custom,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,verify,ptrace,GATED-OFF(ci=false),EXECUTED ok=6 rc=0
close-range-fds,close_range_fds,verify,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
close-range-fds,close_range_fds,verify,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,verify,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
close-range-fds,close_range_fds,verify,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,verify,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,naked,ptrace,NOT-WIRED,
close-range-fds,close_range_fds,naked,kvm,NOT-WIRED,cannot-execute-here: HUNG(no verdict in 60s)
close-range-fds,close_range_fds,naked,dbi,NOT-WIRED,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,naked,liteinst,NOT-WIRED,cannot-execute-here: runtime .so missing
close-range-fds,close_range_fds,naked,sabre,NOT-WIRED,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,naked,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,replay,ptrace,DECLINED-IN-MANIFEST,
close-range-fds,close_range_fds,replay,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
close-range-fds,close_range_fds,replay,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,replay,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
close-range-fds,close_range_fds,replay,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,replay,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,chaos,ptrace,DECLINED-IN-MANIFEST,
close-range-fds,close_range_fds,chaos,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
close-range-fds,close_range_fds,chaos,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,chaos,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
close-range-fds,close_range_fds,chaos,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,chaos,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,custom,ptrace,DECLINED-IN-MANIFEST,
close-range-fds,close_range_fds,custom,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
close-range-fds,close_range_fds,custom,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,custom,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
close-range-fds,close_range_fds,custom,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
close-range-fds,close_range_fds,custom,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,verify,ptrace,GATED-OFF(ci=false),EXECUTED ok=3 rc=0
copy-file-range-refusal,copy_file_range_refusal,verify,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
copy-file-range-refusal,copy_file_range_refusal,verify,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,verify,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
copy-file-range-refusal,copy_file_range_refusal,verify,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,verify,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,naked,ptrace,NOT-WIRED,
copy-file-range-refusal,copy_file_range_refusal,naked,kvm,NOT-WIRED,cannot-execute-here: HUNG(no verdict in 60s)
copy-file-range-refusal,copy_file_range_refusal,naked,dbi,NOT-WIRED,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,naked,liteinst,NOT-WIRED,cannot-execute-here: runtime .so missing
copy-file-range-refusal,copy_file_range_refusal,naked,sabre,NOT-WIRED,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,naked,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,replay,ptrace,DECLINED-IN-MANIFEST,
copy-file-range-refusal,copy_file_range_refusal,replay,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
copy-file-range-refusal,copy_file_range_refusal,replay,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,replay,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
copy-file-range-refusal,copy_file_range_refusal,replay,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,replay,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,chaos,ptrace,DECLINED-IN-MANIFEST,
copy-file-range-refusal,copy_file_range_refusal,chaos,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
copy-file-range-refusal,copy_file_range_refusal,chaos,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,chaos,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
copy-file-range-refusal,copy_file_range_refusal,chaos,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,chaos,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,custom,ptrace,DECLINED-IN-MANIFEST,
copy-file-range-refusal,copy_file_range_refusal,custom,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
copy-file-range-refusal,copy_file_range_refusal,custom,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,custom,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
copy-file-range-refusal,copy_file_range_refusal,custom,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
copy-file-range-refusal,copy_file_range_refusal,custom,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,verify,ptrace,GATED-OFF(ci=false),"ran rc=0, NO ok= count"
cpuid-probe,cpuid_probe,verify,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
cpuid-probe,cpuid_probe,verify,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,verify,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
cpuid-probe,cpuid_probe,verify,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,verify,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,naked,ptrace,NOT-WIRED,
cpuid-probe,cpuid_probe,naked,kvm,NOT-WIRED,cannot-execute-here: HUNG(no verdict in 60s)
cpuid-probe,cpuid_probe,naked,dbi,NOT-WIRED,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,naked,liteinst,NOT-WIRED,cannot-execute-here: runtime .so missing
cpuid-probe,cpuid_probe,naked,sabre,NOT-WIRED,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,naked,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,replay,ptrace,DECLINED-IN-MANIFEST,
cpuid-probe,cpuid_probe,replay,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
cpuid-probe,cpuid_probe,replay,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,replay,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
cpuid-probe,cpuid_probe,replay,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,replay,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,chaos,ptrace,DECLINED-IN-MANIFEST,
cpuid-probe,cpuid_probe,chaos,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
cpuid-probe,cpuid_probe,chaos,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,chaos,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
cpuid-probe,cpuid_probe,chaos,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,chaos,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,custom,ptrace,DECLINED-IN-MANIFEST,
cpuid-probe,cpuid_probe,custom,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
cpuid-probe,cpuid_probe,custom,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,custom,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
cpuid-probe,cpuid_probe,custom,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
cpuid-probe,cpuid_probe,custom,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,verify,ptrace,GATED-OFF(ci=false),EXECUTED ok=7 rc=0
epoll-pwait2,epoll_pwait2_readiness,verify,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
epoll-pwait2,epoll_pwait2_readiness,verify,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,verify,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
epoll-pwait2,epoll_pwait2_readiness,verify,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,verify,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,naked,ptrace,NOT-WIRED,
epoll-pwait2,epoll_pwait2_readiness,naked,kvm,NOT-WIRED,cannot-execute-here: HUNG(no verdict in 60s)
epoll-pwait2,epoll_pwait2_readiness,naked,dbi,NOT-WIRED,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,naked,liteinst,NOT-WIRED,cannot-execute-here: runtime .so missing
epoll-pwait2,epoll_pwait2_readiness,naked,sabre,NOT-WIRED,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,naked,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,replay,ptrace,DECLINED-IN-MANIFEST,
epoll-pwait2,epoll_pwait2_readiness,replay,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
epoll-pwait2,epoll_pwait2_readiness,replay,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,replay,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
epoll-pwait2,epoll_pwait2_readiness,replay,sabre,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,replay,e9patch,NOT-WIRED,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,chaos,ptrace,DECLINED-IN-MANIFEST,
epoll-pwait2,epoll_pwait2_readiness,chaos,kvm,DECLINED-IN-MANIFEST,cannot-execute-here: HUNG(no verdict in 60s)
epoll-pwait2,epoll_pwait2_readiness,chaos,dbi,DECLINED-IN-MANIFEST,cannot-execute-here: not-in-build
epoll-pwait2,epoll_pwait2_readiness,chaos,liteinst,DECLINED-IN-MANIFEST,cannot-execute-here: runtime .so missing
