cell	backend	run	rc	detlog_records	refusal
detlog_syscalls	dbi	1	0	334	
detlog_syscalls	dbi	2	0	334	
detlog_syscalls	dbi	3	0	334	
detlog_syscalls	dbi	4	0	334	
detlog_syscalls	dbi	5	0	334	
detlog_syscalls	dbi	6	0	334	
detlog_syscalls	dbi	7	0	334	
detlog_syscalls	dbi	8	0	334	
detlog_syscalls	dbi	9	0	334	
detlog_syscalls	dbi	10	0	334	
detlog_syscalls	dbi	11	0	334	
detlog_syscalls	dbi	12	0	334	
detlog_syscalls	dbi	13	0	334	
detlog_syscalls	dbi	14	0	334	
detlog_syscalls	dbi	15	0	334	
detlog_syscalls	dbi	16	0	334	
detlog_syscalls	dbi	17	0	334	
detlog_syscalls	dbi	18	0	334	
detlog_syscalls	dbi	19	0	334	
detlog_syscalls	dbi	20	0	334	
detlog_syscalls	dbi	21	0	334	
detlog_syscalls	dbi	22	0	334	
detlog_syscalls	dbi	23	0	334	
detlog_syscalls	dbi	24	0	334	
detlog_syscalls	dbi	25	0	334	
detlog_syscalls	dbi	26	0	334	
detlog_syscalls	dbi	27	0	334	
detlog_syscalls	dbi	28	0	334	
detlog_syscalls	dbi	29	0	334	
detlog_syscalls	dbi	30	0	334	
detlog_syscalls	sabre	1	0	313	
detlog_syscalls	sabre	2	0	313	
detlog_syscalls	sabre	3	0	313	
detlog_syscalls	sabre	4	0	313	
detlog_syscalls	sabre	5	0	313	
detlog_syscalls	sabre	6	0	313	
detlog_syscalls	sabre	7	0	313	
detlog_syscalls	sabre	8	0	313	
detlog_syscalls	sabre	9	0	313	
detlog_syscalls	sabre	10	0	313	
detlog_syscalls	sabre	11	0	313	
detlog_syscalls	sabre	12	0	313	
detlog_syscalls	sabre	13	0	313	
detlog_syscalls	sabre	14	0	313	
detlog_syscalls	sabre	15	0	313	
detlog_syscalls	sabre	16	0	313	
detlog_syscalls	sabre	17	0	313	
detlog_syscalls	sabre	18	0	313	
detlog_syscalls	sabre	19	0	313	
detlog_syscalls	sabre	20	0	313	
detlog_syscalls	sabre	21	0	313	
detlog_syscalls	sabre	22	0	313	
detlog_syscalls	sabre	23	0	313	
detlog_syscalls	sabre	24	0	313	
detlog_syscalls	sabre	25	0	313	
detlog_syscalls	sabre	26	0	313	
detlog_syscalls	sabre	27	0	313	
detlog_syscalls	sabre	28	0	313	
detlog_syscalls	sabre	29	0	313	
detlog_syscalls	sabre	30	0	313	
detlog_syscalls	e9patch	1	0	336	
detlog_syscalls	e9patch	2	0	336	
detlog_syscalls	e9patch	3	0	336	
detlog_syscalls	e9patch	4	0	336	
detlog_syscalls	e9patch	5	0	336	
detlog_syscalls	e9patch	6	0	336	
detlog_syscalls	e9patch	7	0	336	
detlog_syscalls	e9patch	8	0	336	
detlog_syscalls	e9patch	9	0	336	
detlog_syscalls	e9patch	10	0	336	
detlog_syscalls	e9patch	11	0	336	
detlog_syscalls	e9patch	12	0	336	
