cell,backend,corpus,guest_source,tier,Z,E,selfdet,selfdet_runs,selfdet_pairs,selfdet_differing_pairs,golden_selfdet,Y_raw,cover_raw,uncovered_raw,inserted_raw,Y_hex,cover_hex,uncovered_hex,inserted_hex,cover_hex_pct,selfdet_distinct_classes,selfdet_class_sizes,inherited,engagement,matrix_sample_selfdet,note
stdout_bytes,dbi,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,self-nondeterministic,82,80,30 classes over 30 runs (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),30,435,435,1 class(es) over 30 runs (30),,,,,,,,,,30,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,"Detcore Tool active; running ""./pg/stdout_bytes"" under Dynam",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
stdout_bytes,sabre,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,diverges,82,65,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),4,6,76,59,4,9,73,56,11.0,1,30,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
stdout_bytes,e9patch,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,not-exercised,82,82,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),,,,,,,,,,1,30,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
stdout_bytes,liteinst,ci-hub/parity pinned reference guest,ci-hub/parity/guests/stdout_bytes.c,diverges,82,820,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,21,61,799,10,40,42,780,48.8,1,30,,preload_refs=3,,
bin_true,ptrace,system binary,/bin/true,byte-identical,68,68,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),68,68,0,0,68,68,0,0,100.0,1,30,,reference,,
bin_true,kvm,system binary,/bin/true,diverges,68,68,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),5,15,53,53,5,55,13,13,80.9,1,30,,launching guest through reverie-kvm,,
bin_true,dbi,system binary,/bin/true,self-nondeterministic,68,68,30 classes over 30 runs (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),30,435,435,1 class(es) over 30 runs (30),,,,,,,,,,30,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,"Detcore Tool active; running ""/bin/true"" under DynamoRIO",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
bin_true,sabre,system binary,/bin/true,diverges,68,47,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),4,5,63,42,4,5,63,42,7.4,1,30,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
bin_true,e9patch,system binary,/bin/true,not-exercised,68,68,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),,,,,,,,,,1,30,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
bin_true,liteinst,system binary,/bin/true,diverges,68,804,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,19,49,785,10,36,32,768,52.9,1,30,,preload_refs=3,,
bin_echo,ptrace,system binary,/bin/echo,byte-identical,84,84,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),84,84,0,0,84,84,0,0,100.0,1,30,,reference,,
bin_echo,kvm,system binary,/bin/echo,diverges,84,84,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),5,20,64,64,5,69,15,15,82.1,1,30,,launching guest through reverie-kvm,,
bin_echo,dbi,system binary,/bin/echo,self-nondeterministic,84,82,30 classes over 30 runs (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),30,435,435,1 class(es) over 30 runs (30),,,,,,,,,,30,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,"Detcore Tool active; running ""/bin/echo"" under DynamoRIO",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
bin_echo,sabre,system binary,/bin/echo,diverges,84,67,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),4,8,76,59,4,12,72,55,14.3,1,30,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
bin_echo,e9patch,system binary,/bin/echo,not-exercised,84,84,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),,,,,,,,,,1,30,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
bin_echo,liteinst,system binary,/bin/echo,diverges,84,814,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,23,61,791,10,44,40,770,52.4,1,30,,preload_refs=3,,
