id	program	build	pt_exit	kvm_exit	pt_out	kvm_out	parity	verdict
c-programs/so-incoming-cpu-udp4	tests/c/so_incoming_cpu_udp4.c	ok	0	1	b49fc8be9466	e3b0c44298fc	false	DIFF
c-programs/splice-enosys	tests/c/splice_enosys.c	ok	0	0	0bc4f64fe4ad	0bc4f64fe4ad	true	PARITY
c-programs/statmount-enosys	tests/c/statmount_enosys.c	ok	0	0	84a55d7cfcd9	84a55d7cfcd9	true	PARITY
c-programs/syscall-file-io	tests/c/syscall_file_io.c	ok	0	0	632d0f8b9698	632d0f8b9698	true	PARITY
c-programs/syscall-file-metadata	tests/c/syscall_file_metadata.c	ok	0	0	57a74d78ecf9	57a74d78ecf9	true	PARITY
c-programs/syscall-quick-wins	tests/c/syscall_quick_wins.c	ok	0	1	5d19b00a019f	e3b0c44298fc	false	DIFF
c-programs/sysfs-enosys	tests/c/sysfs_enosys.c	ok	0	0	77a60c6b8a6c	77a60c6b8a6c	true	PARITY
c-programs/sysinfo	tests/c/sysinfo.c	ok	0	0	321e6c1420bd	21b9eb99690e	false	DIFF
c-programs/sysinfo-uptime	tests/c/sysinfo_uptime.c	ok	0	0	80f6d7621738	7efdf4a25a32	false	DIFF
c-programs/syslog-deterministic	tests/c/syslog_deterministic.c	ok	0	0	c23edf066d3b	c23edf066d3b	true	PARITY
c-programs/sysv-sem-enosys	tests/c/sysv_sem_enosys.c	ok	0	0	f024dd91d8c1	f024dd91d8c1	true	PARITY
c-programs/sysv-shm-enosys	tests/c/sysv_shm_enosys.c	ok	0	0	7b4564e64aa3	7b4564e64aa3	true	PARITY
c-programs/tcp-info-accept4	tests/c/tcp_info_accept4.c	ok	0	1	c830be750b31	e3b0c44298fc	false	DIFF
c-programs/tcp-info-accept6	tests/c/tcp_info_accept6.c	ok	0	1	4b386d711c9c	e3b0c44298fc	false	DIFF
c-programs/tcp-info-client4	tests/c/tcp_info_client4.c	ok	0	1	29047556927b	e3b0c44298fc	false	DIFF
c-programs/tee-enosys	tests/c/tee_enosys.c	ok	0	0	1c8d3e5b5c25	1c8d3e5b5c25	true	PARITY
c-programs/threadexhaustion	tests/c/threadExhaustion.c	ok	0	0	6ed164be2f90	6ed164be2f90	true	PARITY
c-programs/thread-self-procfs-handoff	tests/c/thread_self_procfs_handoff.c	ok	0	1	4ec014d923f7	e3b0c44298fc	false	DIFF
c-programs/thread-sync-determinism	tests/c/thread_sync_determinism.c	ok	2	2	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/timer-create-determinism	tests/c/timer_create_determinism.c	ok	0	0	88d3c6bddc5c	88d3c6bddc5c	true	PARITY
c-programs/uname	tests/c/uname.c	ok	0	0	29a9d1c5f680	29a9d1c5f680	true	PARITY
c-programs/unix-autobind-dgram	tests/c/unix_autobind_dgram.c	ok	0	0	b3679cef7d4c	b3679cef7d4c	true	PARITY
c-programs/unix-autobind-seqpacket	tests/c/unix_autobind_seqpacket.c	ok	0	1	adab29374a2e	e3b0c44298fc	false	DIFF
c-programs/unix-autobind-stream	tests/c/unix_autobind_stream.c	ok	0	0	91304ad31823	91304ad31823	true	PARITY
c-programs/ustat-enosys	tests/c/ustat_enosys.c	ok	0	0	a3385f3800f1	a3385f3800f1	true	PARITY
c-programs/vforkexec	tests/c/vforkExec.c	ok	0	0	0b81d8eab80e	c12f8a77bebb	false	DIFF
c-programs/vmsplice-enosys	tests/c/vmsplice_enosys.c	ok	0	0	8f5a5d41aa1a	8f5a5d41aa1a	true	PARITY
c-programs/wait-on-child	tests/c/wait_on_child.c	ok	0	0	67184c0256b5	a4738073991c	false	DIFF
c-programs/writev-determinism	tests/c/writev_determinism.c	ok	0	1	eb8a913e7937	6512ed89795e	false	DIFF
debugger-c/debuggee	tests/debugger/guests/debuggee.c	ok	0	0	48d3d236efc4	a4926f9c27e7	false	DIFF
determinism-stress-c/fork-tree	tests/e2e/determinism-stress/fork_tree.c	ok	0	0	8ddf8b17d777	8ddf8b17d777	true	PARITY
determinism-stress-c/lock-free	tests/e2e/determinism-stress/guests/lock_free.c	ok	0	0	b3bab857d371	b3bab857d371	true	PARITY
determinism-stress-c/mmap-fork-shared	tests/e2e/determinism-stress/mmap_fork_shared.c	ok	0	124	cc89b297383d	e3b0c44298fc	false	DIFF
determinism-stress-c/pid-tid	tests/e2e/determinism-stress/guests/pid_tid.c	ok	0	5	384b77c5cf9f	68c26865c222	false	DIFF
determinism-stress-c/pipe-chain	tests/e2e/determinism-stress/pipe_chain.c	ok	0	1	46835a9f9f13	e3b0c44298fc	false	DIFF
determinism-stress-c/pipe-prefill	tests/e2e/determinism-stress/pipe_prefill.c	ok	0	1	85f07bae7e52	e3b0c44298fc	false	DIFF
determinism-stress-c/signal-order	tests/e2e/determinism-stress/guests/signal_order.c	ok	0	124	e4b06b822726	e3b0c44298fc	false	DIFF
determinism-stress-c/thread-contention	tests/e2e/determinism-stress/thread_contention.c	ok	1	1	e3b0c44298fc	e3b0c44298fc	false	DIFF
determinism-stress-c/thread-stress	tests/e2e/determinism-stress/thread_stress.c	ok	0	124	5cc9e2f4adb1	e3b0c44298fc	false	DIFF
determinism-stress/order-violation	tests/chaos/order_violation.c	ok	0	0	0ba904eae877	0ba904eae877	true	PARITY
shared-futex-c/qemu-exec-init	tests/shared-futex-verify/qemu_exec_init.c	ok	1	1	f661f3a07a6e	f661f3a07a6e	false	DIFF
shared-futex-c/qemu-hello	tests/shared-futex-verify/qemu_hello.c	ok	7	7	9ea4709e7c24	8b147ec81993	false	DIFF
shared-futex-c/qemu-init	tests/shared-futex-verify/qemu_init.c	ok	1	1	43f850729eb0	43f850729eb0	false	DIFF
shared-futex-c/qemu-net-init	tests/shared-futex-verify/qemu_net_init.c	ok	139	1	6f2e575f700d	6f2e575f700d	false	DIFF
system-utils/clock-determinism	tests/c/clock_determinism.c	ok	0	0	b71a2526a1da	3c1093136cc6	false	DIFF
system-utils/record-getpid	tests/c/getpid.c	ok	0	0	7d65259dd0f4	0638f7665ea4	false	DIFF
util-c/pmu-skid	tests/util/pmu_skid.c	ok	1	1	e3b0c44298fc	e3b0c44298fc	false	DIFF
