case_id	subcmd	image	interleavings	pinned_scratch_path	seed_A	sha_A	seed_B	sha_B	repro_verified	reproduce_cmd
CR29	chunk-recover	up__bko-200409.raw	2	runs/sweep_chunkrec/up__bko-200409.raw.scratch	1	533da4891ee65e4c	2	6c80189d0b8187fd	YES	cp corpus/up__bko-200409.raw runs/sweep_chunkrec/up__bko-200409.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-200409.raw.scratch
CR30	chunk-recover	up__bko-97031-invalid-stripe-len-sys-array.raw	2	runs/sweep_chunkrec/up__bko-97031-invalid-stripe-len-sys-array.raw.scratch	1	1aba17109dcb5304	2	9000efd1a7afdaf3	YES	cp corpus/up__bko-97031-invalid-stripe-len-sys-array.raw runs/sweep_chunkrec/up__bko-97031-invalid-stripe-len-sys-array.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-97031-invalid-stripe-len-sys-array.raw.scratch
CR31	chunk-recover	up__bko-97041-invalid-sub-stripes-zero-FPE.raw	2	runs/sweep_chunkrec/up__bko-97041-invalid-sub-stripes-zero-FPE.raw.scratch	1	2b88570baab25c36	2	f345f2e13c4b53a3	YES	cp corpus/up__bko-97041-invalid-sub-stripes-zero-FPE.raw runs/sweep_chunkrec/up__bko-97041-invalid-sub-stripes-zero-FPE.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-97041-invalid-sub-stripes-zero-FPE.raw.scratch
CR32	chunk-recover	up__bko-97171-btrfs-image.raw	2	runs/sweep_chunkrec/up__bko-97171-btrfs-image.raw.scratch	1	68cd9c40cb7890ee	2	b7627af4cc9d82db	YES	cp corpus/up__bko-97171-btrfs-image.raw runs/sweep_chunkrec/up__bko-97171-btrfs-image.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-97171-btrfs-image.raw.scratch
CR33	chunk-recover	up__bko-97191-btrfs-image.raw	2	runs/sweep_chunkrec/up__bko-97191-btrfs-image.raw.scratch	1	307575f08347b5cc	2	c1acec1b60399e4d	YES	cp corpus/up__bko-97191-btrfs-image.raw runs/sweep_chunkrec/up__bko-97191-btrfs-image.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-97191-btrfs-image.raw.scratch
CR34	chunk-recover	up__bko-97271-btrfs-image.raw	2	runs/sweep_chunkrec/up__bko-97271-btrfs-image.raw.scratch	1	22843d38f26e7983	2	0b64017fca08b848	YES	cp corpus/up__bko-97271-btrfs-image.raw runs/sweep_chunkrec/up__bko-97271-btrfs-image.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__bko-97271-btrfs-image.raw.scratch
CR35	chunk-recover	up__superblock-stripsize-bogus.raw	2	runs/sweep_chunkrec/up__superblock-stripsize-bogus.raw.scratch	1	db13cd5e84689a77	2	8deff062c91f352a	YES	cp corpus/up__superblock-stripsize-bogus.raw runs/sweep_chunkrec/up__superblock-stripsize-bogus.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__superblock-stripsize-bogus.raw.scratch
CR36	chunk-recover	up__sys-array-num-stripes-0.raw	2	runs/sweep_chunkrec/up__sys-array-num-stripes-0.raw.scratch	1	519f37f687713f3f	2	2532d1631a27d67f	YES	cp corpus/up__sys-array-num-stripes-0.raw runs/sweep_chunkrec/up__sys-array-num-stripes-0.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__sys-array-num-stripes-0.raw.scratch
CR37	chunk-recover	up__sys-chunk-stripe-len-bogus.raw	2	runs/sweep_chunkrec/up__sys-chunk-stripe-len-bogus.raw.scratch	1	090bac0ef3733cf7	2	4bcf3b1ac4e14207	YES	cp corpus/up__sys-chunk-stripe-len-bogus.raw runs/sweep_chunkrec/up__sys-chunk-stripe-len-bogus.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__sys-chunk-stripe-len-bogus.raw.scratch
CR38	chunk-recover	up__sys-chunk-type-bogus.raw	2	runs/sweep_chunkrec/up__sys-chunk-type-bogus.raw.scratch	1	fd26bbc23536dbb3	2	adc5a69ce7cf6200	YES	cp corpus/up__sys-chunk-type-bogus.raw runs/sweep_chunkrec/up__sys-chunk-type-bogus.raw.scratch && hermit run --strict --chaos --chaos-target-races --seed <SEED> -- btrfs rescue chunk-recover -y -v runs/sweep_chunkrec/up__sys-chunk-type-bogus.raw.scratch
